id,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
10599,2,2016-01-02 14:36:00,2016-01-02 15:29:00,2,19.01,-73.782119750000000,40.644691470000000,2,N,-74.005088810000000,40.744838710000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10600,1,2016-01-02 14:36:00,2016-01-02 15:21:00,1,15.50,-73.782035830000000,40.644878390000000,1,N,-73.958274840000000,40.742794040000000,1,46.50,0.00,0.50,8.00,0.00,0.30,55.30
10601,2,2016-01-02 14:36:00,2016-01-02 15:18:00,1,20.61,-73.782676700000000,40.644546510000000,2,N,-73.959129330000000,40.760070800000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10602,2,2016-01-02 14:36:00,2016-01-02 15:31:00,1,17.82,-73.781867980000000,40.644783020000000,2,N,-73.966842650000000,40.768962860000000,2,52.00,0.00,0.50,0.00,0.00,0.30,52.80
10603,1,2016-01-02 14:36:00,2016-01-02 15:04:00,4,13.40,-73.776802060000000,40.645248410000000,1,N,-73.659576420000000,40.729942320000000,2,37.50,0.00,0.50,0.00,0.00,0.30,38.30
10604,2,2016-01-02 14:36:00,2016-01-02 15:28:00,1,20.70,-73.782409670000000,40.644618990000000,2,N,-74.009819030000000,40.707500460000000,1,52.00,0.00,0.50,8.00,0.00,0.30,60.80
10605,2,2016-01-02 14:36:00,2016-01-02 14:58:00,1,5.83,-73.789932250000000,40.647098540000000,1,N,-73.833877560000000,40.706771850000000,2,20.50,0.00,0.50,0.00,0.00,0.30,21.30
10606,1,2016-01-02 14:36:00,2016-01-02 15:23:00,1,19.30,-73.790039060000000,40.646869660000000,2,N,-73.956962590000000,40.767429350000000,1,52.00,0.00,0.50,11.65,5.54,0.30,69.99
10607,1,2016-01-02 14:36:00,2016-01-02 15:29:00,1,18.50,-73.787864690000000,40.641746520000000,2,N,-73.982086180000000,40.776462550000000,2,52.00,0.00,0.50,0.00,0.00,0.30,52.80
10608,2,2016-01-02 14:37:00,2016-01-02 15:11:00,1,11.85,-73.789672850000000,40.643627170000000,1,N,-73.862045290000000,40.768550870000000,2,36.00,0.00,0.50,0.00,0.00,0.30,36.80
