id,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
10609,2,2016-01-02 14:37:00,2016-01-02 15:29:00,1,18.67,-73.782722470000000,40.644569400000000,1,N,-73.985931400000000,40.703758240000000,1,54.50,0.00,0.50,6.00,0.00,0.30,61.30
10610,1,2016-01-02 14:37:00,2016-01-02 15:24:00,4,19.50,-73.780639650000000,40.647537230000000,2,N,-73.970359800000000,40.749366760000000,1,52.00,0.00,0.50,7.50,5.54,0.30,65.84
10611,2,2016-01-02 14:37:00,2016-01-02 15:26:00,1,14.09,-73.790153500000000,40.643787380000000,1,N,-73.981666560000000,40.664371490000000,2,46.00,0.00,0.50,0.00,0.00,0.30,46.80
10612,2,2016-01-02 14:37:00,2016-01-02 15:17:00,1,11.79,-73.789703370000000,40.643615720000000,1,N,-73.959053040000000,40.656551360000000,1,39.00,0.00,0.50,7.96,0.00,0.30,47.76
10613,2,2016-01-02 14:37:00,2016-01-02 15:30:00,1,21.50,-73.776649480000000,40.645370480000000,2,N,-73.975212100000000,40.765258790000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10614,2,2016-01-02 14:37:00,2016-01-02 15:27:00,1,19.73,-73.786048890000000,40.647304530000000,2,N,-73.945533750000000,40.835090640000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10615,2,2016-01-02 14:37:00,2016-01-02 15:26:00,1,21.10,-73.782798770000000,40.644527440000000,2,N,-73.969573970000000,40.758083340000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10616,2,2016-01-02 14:37:00,2016-01-02 15:13:00,2,10.62,-73.790161130000000,40.647060390000000,1,N,-73.922889710000000,40.700599670000000,1,34.50,0.00,0.50,8.82,0.00,0.30,44.12
10617,1,2016-01-02 14:37:00,2016-01-02 15:33:00,1,19.70,-73.789802550000000,40.644001010000000,2,N,-73.968147280000000,40.804122920000000,1,52.00,0.00,0.50,11.65,5.54,0.30,69.99
10618,1,2016-01-02 14:37:00,2016-01-02 15:32:00,1,21.30,-73.782028200000000,40.644691470000000,1,N,-73.999160770000000,40.680278780000000,1,60.50,0.00,0.50,18.35,0.00,0.30,79.65
10619,1,2016-01-02 14:37:00,2016-01-02 15:24:00,4,17.40,-73.782012940000000,40.644622800000000,2,N,-73.984619140000000,40.745643620000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10620,2,2016-01-02 14:37:00,2016-01-02 15:12:00,1,11.25,-73.790176390000000,40.647010800000000,1,N,-73.950019840000000,40.684059140000000,1,35.00,0.00,0.50,7.16,0.00,0.30,42.96
10621,2,2016-01-02 14:38:00,2016-01-02 15:59:00,2,18.05,-73.780288700000000,40.645870210000000,2,N,-73.983390810000000,40.762905120000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10622,1,2016-01-02 14:38:00,2016-01-02 15:32:00,1,18.40,-73.783744810000000,40.648696900000000,2,N,-73.968955990000000,40.764369960000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10623,1,2016-01-02 14:38:00,2016-01-02 15:42:00,2,21.10,-73.789878850000000,40.643966670000000,2,N,-74.011138920000000,40.714866640000000,1,52.00,0.00,0.50,6.00,0.00,0.30,58.80
10624,2,2016-01-02 14:38:00,2016-01-02 15:30:00,1,20.66,-73.776718140000000,40.645309450000000,2,N,-73.958808900000000,40.772281650000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10625,1,2016-01-02 14:38:00,2016-01-02 15:28:00,1,16.70,-73.776771550000000,40.645481110000000,1,N,-73.943305970000000,40.707855220000000,1,50.00,0.00,0.50,5.00,0.00,0.30,55.80
10626,1,2016-01-02 14:38:00,2016-01-02 15:36:00,1,18.60,-73.790138240000000,40.643718720000000,2,N,-73.998161320000000,40.760734560000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10627,2,2016-01-02 14:38:00,2016-01-02 15:13:00,4,7.03,-73.789649960000000,40.643890380000000,1,N,-73.792327880000000,40.708110810000000,2,27.00,0.00,0.50,0.00,0.00,0.30,27.80
10628,2,2016-01-02 14:38:00,2016-01-02 15:31:00,1,19.91,-73.782371520000000,40.644561770000000,2,N,-73.962310790000000,40.794990540000000,1,52.00,0.00,0.50,14.58,5.54,0.30,72.92
10629,2,2016-01-02 14:38:00,2016-01-02 15:31:00,1,20.12,-73.776702880000000,40.645240780000000,1,N,-73.985702510000000,40.674110410000000,1,59.50,0.00,0.50,12.06,0.00,0.30,72.36
10630,2,2016-01-02 14:39:00,2016-01-02 15:35:00,3,18.18,-73.781501770000000,40.644840240000000,2,N,-73.992828370000000,40.761840820000000,1,52.00,0.00,0.50,14.58,5.54,0.30,72.92
10631,1,2016-01-02 14:39:00,2016-01-02 15:44:00,1,16.70,-73.789863590000000,40.646869660000000,1,N,-73.923973080000000,40.766643520000000,1,55.50,0.00,0.50,11.25,0.00,0.30,67.55
10632,2,2016-01-02 14:39:00,2016-01-02 15:19:00,1,16.98,-73.780502320000000,40.646171570000000,2,N,-73.957542420000000,40.762660980000000,1,52.00,0.00,0.50,10.56,0.00,0.30,63.36
10633,2,2016-01-02 14:39:00,2016-01-02 15:22:00,2,12.32,-73.783493040000000,40.648647310000000,1,N,-73.895210270000000,40.749431610000000,2,39.50,0.00,0.50,0.00,0.00,0.30,40.30
10634,1,2016-01-02 14:39:00,2016-01-02 15:16:00,1,11.50,-73.782714840000000,40.644721980000000,1,N,-73.929504390000000,40.699836730000000,1,37.00,0.00,0.50,7.00,0.00,0.30,44.80
10635,1,2016-01-02 14:39:00,2016-01-02 15:12:00,1,15.60,-73.782554630000000,40.644386290000000,1,N,-73.956298830000000,40.741779330000000,1,45.00,0.00,0.50,11.45,0.00,0.30,57.25
10636,2,2016-01-02 14:39:00,2016-01-02 15:34:00,1,20.68,-73.776718140000000,40.645217900000000,1,N,-73.991752620000000,40.685661320000000,1,59.50,0.00,0.50,15.08,0.00,0.30,75.38
10637,2,2016-01-02 14:39:00,2016-01-02 15:44:00,1,22.14,-73.783454900000000,40.648651120000000,2,N,-73.989418030000000,40.771358490000000,1,52.00,0.00,0.50,10.00,5.54,0.30,68.34
10638,2,2016-01-02 14:39:00,2016-01-02 15:34:00,1,17.53,-73.789947510000000,40.643909450000000,2,N,-73.957313540000000,40.762031560000000,2,52.00,0.00,0.50,0.00,0.00,0.30,52.80
10639,1,2016-01-02 14:39:00,2016-01-02 15:48:00,1,33.40,-73.781150820000000,40.644943240000000,5,N,-74.042007450000000,40.786613460000000,1,110.00,0.00,0.00,26.26,21.00,0.30,157.56
10640,2,2016-01-02 14:39:00,2016-01-02 15:26:00,3,12.95,-73.790382390000000,40.646987920000000,1,N,-73.981994630000000,40.673030850000000,1,43.00,0.00,0.50,8.76,0.00,0.30,52.56
10641,2,2016-01-02 14:39:00,2016-01-02 15:22:00,1,20.08,-73.781738280000000,40.644752500000000,2,N,-73.965827940000000,40.790203090000000,1,52.00,0.00,0.50,8.00,5.54,0.30,66.34
10642,1,2016-01-02 14:40:00,2016-01-02 15:23:00,1,15.30,-73.781906130000000,40.644748690000000,1,N,-73.941726680000000,40.720733640000000,1,45.50,0.00,0.50,3.00,0.00,0.30,49.30
10643,2,2016-01-02 14:40:00,2016-01-02 15:28:00,2,15.92,-73.789482120000000,40.643875120000000,1,N,-73.939483640000000,40.751792910000000,1,49.00,0.00,0.50,4.00,0.00,0.30,53.80
10644,2,2016-01-02 14:40:00,2016-01-02 15:39:00,2,18.08,-73.781127930000000,40.645000460000000,2,N,-73.987083440000000,40.759681700000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10645,1,2016-01-02 14:40:00,2016-01-02 15:29:00,1,17.90,-73.791114810000000,40.645877840000000,2,N,-73.983230590000000,40.770507810000000,1,52.00,0.00,0.50,13.00,5.54,0.30,71.34
10646,2,2016-01-02 14:40:00,2016-01-02 15:18:00,1,12.61,-73.790374760000000,40.644001010000000,1,N,-73.867401120000000,40.767963410000000,1,39.00,0.00,0.50,7.96,0.00,0.30,47.76
10647,1,2016-01-02 14:40:00,2016-01-02 15:23:00,1,15.60,-73.788322450000000,40.645019530000000,2,N,-73.991127010000000,40.753662110000000,1,52.00,0.00,0.50,7.00,5.54,0.30,65.34
10648,2,2016-01-02 14:40:00,2016-01-02 15:12:00,1,11.08,-73.790023800000000,40.644046780000000,1,N,-73.927276610000000,40.694671630000000,1,34.00,0.00,0.50,6.96,0.00,0.30,41.76
10649,2,2016-01-02 14:41:00,2016-01-02 15:35:00,1,16.93,-73.789863590000000,40.643810270000000,2,N,-73.961814880000000,40.762416840000000,1,52.00,0.00,0.50,5.00,0.00,0.30,57.80
10650,2,2016-01-02 14:41:00,2016-01-02 15:22:00,1,19.75,-73.782043460000000,40.644779210000000,2,N,-73.952873230000000,40.779338840000000,1,52.00,0.00,0.50,17.50,5.54,0.30,75.84
10651,2,2016-01-02 14:41:00,2016-01-02 15:31:00,1,19.38,-73.782356260000000,40.644733430000000,1,N,-73.963508610000000,40.717758180000000,1,56.50,0.00,0.50,14.32,0.00,0.30,71.62
10652,1,2016-01-02 14:41:00,2016-01-02 15:19:00,1,13.30,-73.783836360000000,40.648498540000000,1,N,-73.989021300000000,40.688873290000000,1,41.50,0.00,0.50,8.46,0.00,0.30,50.76
10653,2,2016-01-02 14:41:00,2016-01-02 15:02:00,1,5.48,-73.776672360000000,40.645401000000000,1,N,-73.814819340000000,40.693809510000000,2,19.00,0.00,0.50,0.00,0.00,0.30,19.80
10654,2,2016-01-02 14:41:00,2016-01-02 15:30:00,1,16.94,-73.782150270000000,40.644775390000000,2,N,-73.950958250000000,40.760925290000000,2,52.00,0.00,0.50,0.00,0.00,0.30,52.80
10655,1,2016-01-02 14:41:00,2016-01-02 15:33:00,3,22.60,-73.778602600000000,40.646732330000000,2,N,-74.014976500000000,40.707969670000000,1,52.00,0.00,0.50,5.83,5.54,0.30,64.17
10656,2,2016-01-02 14:41:00,2016-01-02 15:43:00,1,18.58,-73.781730650000000,40.644969940000000,2,N,-73.982246400000000,40.763919830000000,1,52.00,0.00,0.50,14.58,5.54,0.30,72.92
10657,2,2016-01-02 14:42:00,2016-01-02 15:24:00,1,11.87,-73.776756290000000,40.645450590000000,1,N,-73.942733760000000,40.704868320000000,2,40.00,0.00,0.50,0.00,0.00,0.30,40.80
10658,2,2016-01-02 14:42:00,2016-01-02 15:27:00,2,12.91,-73.790115360000000,40.646972660000000,1,N,-73.986732480000000,40.688503270000000,1,43.50,0.00,0.50,5.00,0.00,0.30,49.30
10659,2,2016-01-02 14:42:00,2016-01-02 15:22:00,2,17.00,-73.789878850000000,40.646980290000000,2,N,-73.980598450000000,40.742839810000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10660,2,2016-01-02 14:42:00,2016-01-02 15:39:00,1,19.03,-73.782043460000000,40.644794460000000,2,N,-73.956314090000000,40.806518550000000,1,52.00,0.00,0.50,14.58,5.54,0.30,72.92
10661,1,2016-01-02 14:42:00,2016-01-02 15:18:00,1,11.60,-73.789855960000000,40.646949770000000,1,N,-73.952552800000000,40.665534970000000,1,38.00,0.00,0.50,7.76,0.00,0.30,46.56
10662,2,2016-01-02 14:42:00,2016-01-02 15:38:00,1,17.86,-73.781517030000000,40.644870760000000,2,N,-73.984222410000000,40.757370000000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10663,1,2016-01-02 14:42:00,2016-01-02 15:22:00,1,17.70,-73.781501770000000,40.644855500000000,2,Y,-73.980995180000000,40.733890530000000,1,52.00,0.00,0.50,4.50,5.54,0.30,62.84
10664,1,2016-01-02 14:42:00,2016-01-02 15:26:00,2,20.90,-73.781990050000000,40.644809720000000,2,N,-73.938575740000000,40.855079650000000,1,52.00,0.00,0.50,5.00,5.54,0.30,63.34
10665,1,2016-01-02 14:43:00,2016-01-02 15:21:00,1,15.10,-73.781959530000000,40.644725800000000,1,N,-73.926010130000000,40.766933440000000,1,43.50,0.00,0.50,5.00,0.00,0.30,49.30
10666,2,2016-01-02 14:43:00,2016-01-02 14:51:00,1,3.08,-73.776741030000000,40.645320890000000,1,N,-73.799346920000000,40.667171480000000,1,11.00,0.00,0.50,2.36,0.00,0.30,14.16
10667,2,2016-01-02 14:43:00,2016-01-02 15:43:00,1,18.21,-73.790267940000000,40.643943790000000,2,N,-73.974891660000000,40.758567810000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10668,2,2016-01-02 14:43:00,2016-01-02 15:21:00,1,11.83,-73.781951900000000,40.644611360000000,1,N,-73.958450320000000,40.673618320000000,1,38.00,0.00,0.50,7.76,0.00,0.30,46.56
10669,2,2016-01-02 14:43:00,2016-01-02 15:17:00,1,10.04,-73.789894100000000,40.646850590000000,1,N,-73.928024290000000,40.695327760000000,1,33.00,0.00,0.50,6.76,0.00,0.30,40.56
10670,2,2016-01-02 14:43:00,2016-01-02 15:26:00,2,18.62,-73.789649960000000,40.643680570000000,2,N,-73.988761900000000,40.753005980000000,1,52.00,0.00,0.50,4.00,5.54,0.30,62.34
10671,2,2016-01-02 14:43:00,2016-01-02 15:18:00,1,9.03,-73.790023800000000,40.643840790000000,1,N,-73.845932010000000,40.730789180000000,2,30.00,0.00,0.50,0.00,0.00,0.30,30.80
10672,1,2016-01-02 14:44:00,2016-01-02 15:23:00,1,12.30,-73.782081600000000,40.644821170000000,1,N,-73.960853580000000,40.683494570000000,1,39.50,0.00,0.50,8.05,0.00,0.30,48.35
10673,2,2016-01-02 14:44:00,2016-01-02 14:53:00,3,3.83,-73.782012940000000,40.644718170000000,1,N,-73.784019470000000,40.665580750000000,2,13.50,0.00,0.50,0.00,0.00,0.30,14.30
10674,1,2016-01-02 14:44:00,2016-01-02 15:11:00,1,9.50,-73.781967160000000,40.644695280000000,1,N,-73.904953000000000,40.692657470000000,2,29.50,0.00,0.50,0.00,0.00,0.30,30.30
10675,1,2016-01-02 14:44:00,2016-01-02 15:22:00,2,14.50,-73.790069580000000,40.643703460000000,1,N,-73.915496830000000,40.774864200000000,2,44.50,0.00,0.50,0.00,0.00,0.30,45.30
10676,1,2016-01-02 14:44:00,2016-01-02 15:49:00,2,21.60,-73.785263060000000,40.648506160000000,2,N,-73.927864070000000,40.857067110000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10677,2,2016-01-02 14:44:00,2016-01-03 00:00:00,2,20.01,-73.781761170000000,40.644771580000000,2,N,-73.969100950000000,40.790729520000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10678,2,2016-01-02 14:44:00,2016-01-02 15:31:00,1,16.85,-73.786148070000000,40.642978670000000,2,N,-73.979560850000000,40.740570070000000,1,52.00,0.00,0.50,8.00,5.54,0.30,66.34
10679,1,2016-01-02 14:44:00,2016-01-02 15:40:00,1,18.30,-73.776771550000000,40.645416260000000,2,N,-73.992210390000000,40.742591860000000,1,52.00,0.00,0.50,11.65,5.54,0.30,69.99
10680,1,2016-01-02 14:45:00,2016-01-02 15:31:00,1,13.70,-73.790664670000000,40.646343230000000,1,N,-73.919456480000000,40.744354250000000,1,43.50,0.00,0.50,8.85,0.00,0.30,53.15
10681,2,2016-01-02 14:45:00,2016-01-02 15:39:00,1,18.01,-73.776863100000000,40.646110530000000,2,N,-73.975418090000000,40.760341640000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10682,2,2016-01-02 14:45:00,2016-01-02 15:40:00,2,18.57,-73.781967160000000,40.644779210000000,2,N,-73.982131960000000,40.727981570000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10683,1,2016-01-02 14:45:00,2016-01-02 15:19:00,2,8.90,-73.776771550000000,40.645233150000000,1,N,-73.848686220000000,40.729408260000000,2,29.00,0.00,0.50,0.00,0.00,0.30,29.80
10684,2,2016-01-02 14:45:00,2016-01-02 15:15:00,1,20.91,-73.783973690000000,40.648670200000000,1,N,-74.034858700000000,40.611480710000000,2,56.00,0.00,0.50,0.00,0.00,0.30,56.80
10685,2,2016-01-02 14:45:00,2016-01-02 14:58:00,1,5.31,-73.789733890000000,40.643920900000000,1,N,-73.834564210000000,40.670936580000000,1,17.00,0.00,0.50,3.56,0.00,0.30,21.36
10686,1,2016-01-02 14:45:00,2016-01-02 15:41:00,1,16.10,-73.782478330000000,40.644832610000000,1,N,-73.952308650000000,40.717208860000000,1,50.50,0.00,0.50,10.26,0.00,0.30,61.56
10687,2,2016-01-02 14:45:00,2016-01-02 15:27:00,1,17.20,-73.780487060000000,40.646499630000000,2,N,-73.995666500000000,40.740268710000000,1,52.00,0.00,0.50,14.58,5.54,0.30,72.92
10688,2,2016-01-02 14:45:00,2016-01-02 15:34:00,1,17.81,-73.788757320000000,40.642070770000000,2,N,-73.973884580000000,40.752929690000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10689,1,2016-01-02 14:45:00,2016-01-02 15:34:00,1,16.50,-73.789947510000000,40.646495820000000,2,N,-73.973945620000000,40.743923190000000,1,52.00,0.00,0.50,5.00,5.54,0.30,63.34
10690,2,2016-01-02 14:46:00,2016-01-02 15:41:00,2,23.12,-73.776611330000000,40.645339970000000,1,N,-73.903442380000000,40.878459930000000,1,65.50,0.00,0.50,16.58,0.00,0.30,82.88
10691,2,2016-01-02 14:46:00,2016-01-02 15:23:00,1,10.87,-73.782539370000000,40.644519810000000,1,N,-73.935958860000000,40.668849950000000,1,35.00,0.00,0.50,7.16,0.00,0.30,42.96
10692,2,2016-01-02 14:46:00,2016-01-02 15:36:00,1,19.52,-73.782447810000000,40.644660950000000,2,N,-73.977928160000000,40.713401790000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10693,1,2016-01-02 14:46:00,2016-01-02 15:46:00,1,18.20,-73.776748660000000,40.645275120000000,2,N,-73.991813660000000,40.744449620000000,1,52.00,0.00,0.50,14.55,5.54,0.30,72.89
10694,2,2016-01-02 14:46:00,2016-01-02 15:51:00,2,18.61,-73.790496830000000,40.643699650000000,2,N,-74.003303530000000,40.756278990000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10695,2,2016-01-02 14:46:00,2016-01-02 15:43:00,1,22.35,-73.782882690000000,40.648540500000000,2,N,-73.978683470000000,40.764080050000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10696,1,2016-01-02 14:46:00,2016-01-02 15:52:00,1,20.60,-73.780227660000000,40.645786290000000,2,N,-74.007110600000000,40.704765320000000,1,52.00,0.00,0.50,7.00,0.00,0.30,59.80
10697,2,2016-01-02 14:46:00,2016-01-02 15:15:00,1,10.25,-73.789802550000000,40.647224430000000,1,N,-73.922813420000000,40.699512480000000,2,31.00,0.00,0.50,0.00,0.00,0.30,31.80
10698,1,2016-01-02 14:46:00,2016-01-02 15:26:00,1,17.70,-73.782157900000000,40.644912720000000,2,N,-73.931999210000000,40.797134400000000,1,52.00,0.00,0.50,3.00,5.54,0.30,61.34
10699,2,2016-01-02 14:46:00,2016-01-02 15:34:00,1,18.02,-73.778373720000000,40.646778110000000,2,N,-73.992324830000000,40.734634400000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10700,1,2016-01-02 14:46:00,2016-01-02 15:25:00,1,12.00,-73.790443420000000,40.643733980000000,1,N,-73.808303830000000,40.762615200000000,1,38.00,0.00,0.50,8.00,0.00,0.30,46.80
10701,1,2016-01-02 14:46:00,2016-01-02 15:38:00,4,20.80,-73.781593320000000,40.645244600000000,2,N,-73.955787660000000,40.769443510000000,1,52.00,0.00,0.50,10.00,5.54,0.30,68.34
10702,2,2016-01-02 14:47:00,2016-01-02 15:39:00,1,17.64,-73.789634700000000,40.643516540000000,2,N,-73.970321660000000,40.751518250000000,1,52.00,0.00,0.50,5.88,5.54,0.30,64.22
10703,2,2016-01-02 14:47:00,2016-01-02 15:35:00,1,18.25,-73.782051090000000,40.644920350000000,2,N,-73.936622620000000,40.814018250000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10704,2,2016-01-02 14:47:00,2016-01-02 15:50:00,3,21.62,-73.789680480000000,40.647190090000000,2,N,-73.982902530000000,40.777030940000000,1,52.00,0.00,0.50,7.00,5.54,0.30,65.34
10705,2,2016-01-02 14:47:00,2016-01-02 15:41:00,1,19.20,-73.781723020000000,40.644809720000000,2,N,-74.006973270000000,40.718948360000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10706,1,2016-01-02 14:47:00,2016-01-02 15:42:00,1,20.50,-73.782119750000000,40.644832610000000,1,N,-74.000686650000000,40.677265170000000,1,60.50,0.00,0.50,12.25,0.00,0.30,73.55
10707,2,2016-01-02 14:48:00,2016-01-02 15:17:00,1,15.60,-73.782005310000000,40.644737240000000,1,N,-73.942581180000000,40.602619170000000,2,44.00,0.00,0.50,0.00,0.00,0.30,44.80
10708,2,2016-01-02 14:48:00,2016-01-02 15:29:00,1,18.26,-73.790428160000000,40.647228240000000,2,N,-73.942008970000000,40.787052150000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10709,1,2016-01-02 14:48:00,2016-01-02 15:31:00,2,19.20,-73.776779170000000,40.645484920000000,2,N,-73.951461790000000,40.784313200000000,1,52.00,0.00,0.50,11.65,5.54,0.30,69.99
10710,1,2016-01-02 14:48:00,2016-01-02 15:47:00,1,19.20,-73.782081600000000,40.644748690000000,2,N,-74.003814700000000,40.716854100000000,2,52.00,0.00,0.50,0.00,0.00,0.30,52.80
10711,1,2016-01-02 14:48:00,2016-01-02 15:52:00,4,20.90,-73.782402040000000,40.644577030000000,2,N,-73.973411560000000,40.757102970000000,2,52.00,0.00,0.50,0.00,0.00,0.30,52.80
10712,2,2016-01-02 14:48:00,2016-01-02 15:35:00,2,20.14,-73.780197140000000,40.645805360000000,2,N,-73.967895510000000,40.787380220000000,1,52.00,0.00,0.50,12.00,5.54,0.30,70.34
10713,1,2016-01-02 14:48:00,2016-01-02 15:40:00,2,19.70,-73.776695250000000,40.645263670000000,2,N,-73.956283570000000,40.781154630000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10714,2,2016-01-02 14:48:00,2016-01-02 15:43:00,1,19.77,-73.789604190000000,40.643402100000000,2,N,-73.989410400000000,40.732360840000000,1,52.00,0.00,0.50,13.20,0.00,0.30,66.00
10715,2,2016-01-02 14:48:00,2016-01-02 15:33:00,2,16.61,-73.781883240000000,40.644748690000000,2,N,-73.951690670000000,40.760410310000000,2,52.00,0.00,0.50,0.00,0.00,0.30,52.80
10716,2,2016-01-02 14:48:00,2016-01-02 15:30:00,1,22.40,-73.782104490000000,40.644672390000000,2,N,-73.978637700000000,40.743488310000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10717,1,2016-01-02 14:48:00,2016-01-02 15:40:00,2,16.60,-73.789772030000000,40.647083280000000,2,N,-73.981689450000000,40.751579280000000,1,52.00,0.00,0.50,11.65,5.54,0.30,69.99
10718,2,2016-01-02 14:48:00,2016-01-02 15:39:00,2,17.09,-73.784103390000000,40.648708340000000,2,N,-73.978958130000000,40.751888280000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
10719,1,2016-01-02 14:48:00,2016-01-02 15:57:00,1,18.70,-73.782821660000000,40.644725800000000,2,N,-73.999824520000000,40.761280060000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10720,1,2016-01-02 14:48:00,2016-01-02 15:39:00,1,17.80,-73.783256530000000,40.644447330000000,2,Y,-73.992553710000000,40.749198910000000,1,52.00,0.00,0.50,2.36,5.54,0.30,60.70
10721,2,2016-01-02 14:49:00,2016-01-02 15:40:00,3,16.94,-73.789741520000000,40.647159580000000,1,N,-73.954856870000000,40.693061830000000,1,51.00,0.00,0.50,10.36,0.00,0.30,62.16
10722,2,2016-01-02 14:49:00,2016-01-02 15:41:00,2,19.14,-73.782691960000000,40.644569400000000,1,N,-73.988845830000000,40.686145780000000,1,57.00,0.00,0.50,11.56,0.00,0.30,69.36
10723,1,2016-01-02 14:49:00,2016-01-02 15:15:00,1,6.60,-73.790527340000000,40.646049500000000,1,N,-73.838607790000000,40.717239380000000,1,23.00,0.00,0.50,4.75,0.00,0.30,28.55
10724,2,2016-01-02 14:49:00,2016-01-02 15:41:00,1,18.42,-73.789428710000000,40.646842960000000,1,N,-73.984382630000000,40.691730500000000,1,54.50,0.00,0.50,11.06,0.00,0.30,66.36
10725,2,2016-01-02 14:49:00,2016-01-02 15:49:00,1,21.21,-73.776908870000000,40.646171570000000,2,N,-73.968460080000000,40.760711670000000,1,52.00,0.00,0.50,11.67,5.54,0.30,70.01
10726,2,2016-01-02 14:50:00,2016-01-02 15:36:00,1,17.63,-73.789230350000000,40.642230990000000,2,N,-73.982124330000000,40.739326480000000,1,52.00,0.00,0.50,14.58,5.54,0.30,72.92
10727,1,2016-01-02 14:50:00,2016-01-02 15:44:00,2,18.50,-73.782974240000000,40.644813540000000,1,N,-73.806228640000000,40.811023710000000,2,56.00,0.00,0.50,0.00,5.54,0.30,62.34
10728,2,2016-01-02 14:50:00,2016-01-02 15:38:00,1,25.81,-73.782028200000000,40.644744870000000,1,N,-73.999176030000000,40.684547420000000,1,70.50,0.00,0.50,12.00,0.00,0.30,83.30
