source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.09797668, 40.7630043)", ,42.58000,49.760, , ,,,"(-73.09797668, 40.7630043):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.10137177, 40.81260681)", ,45.02000,51.880, , ,,,"(-73.10137177, 40.81260681):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.12759399, 40.91742706)","(-73.97776031, 40.76578522)",50.29000,64.210,18.17000,26.950,50.27500,82.630,Matched
"(-73.785924, 40.645134)","(-73.12931824, 40.89556885)","(-73.90630341, 40.77048874)",47.83000,60.360,13.74000,18.960,43.92000,68.190,Matched
"(-73.785924, 40.645134)","(-73.38665771, 40.80632019)", ,31.21000,40.260, , ,,,"(-73.38665771, 40.80632019):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.41590881, 40.72058868)", ,24.84000,28.620, , ,,,"(-73.41590881, 40.72058868):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.42198944, 40.78373718)", ,28.64000,35.270, , ,,,"(-73.42198944, 40.78373718):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.42202759, 40.78378296)", ,28.64000,35.270, , ,,,"(-73.42202759, 40.78378296):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.42443085, 40.69881058)", ,23.57000,27.760, , ,,,"(-73.42443085, 40.69881058):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.42756653, 40.76335144)","(-73.79295349, 40.7164917)",26.44000,32.440,8.11000,12.290,24.33000,37.920,Matched
"(-73.785924, 40.645134)","(-73.46509552, 40.68829727)", ,19.88000,25.830, , ,,,"(-73.46509552, 40.68829727):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.46699524, 40.7964592)", ,27.75000,32.260, , ,,,"(-73.46699524, 40.7964592):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.50416565, 40.72386169)", ,21.01000,26.420, , ,,,"(-73.50416565, 40.72386169):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.50639343, 40.73168564)", ,21.09000,27.650, , ,,,"(-73.50639343, 40.73168564):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.50782776, 40.75019836)", ,22.73000,29.490, , ,,,"(-73.50782776, 40.75019836):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.53679657, 40.70633316)", ,17.82000,21.450, , ,,,"(-73.53679657, 40.70633316):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.55124664, 40.68861008)", ,16.52000,20.250, , ,,,"(-73.55124664, 40.68861008):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.5592041, 40.77639771)", ,18.64000,25.420, , ,,,"(-73.5592041, 40.77639771):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.55936432, 40.77626038)", ,18.60000,25.310, , ,,,"(-73.55936432, 40.77626038):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.56130981, 40.72633362)", ,18.36000,22.590, , ,,,"(-73.56130981, 40.72633362):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.5746994, 40.7797699)", ,20.07000,28.890, , ,,,"(-73.5746994, 40.7797699):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.57524872, 40.62837982)", ,14.89000,21.420, , ,,,"(-73.57524872, 40.62837982):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.58348846, 40.67869949)", ,14.59000,18.770, , ,,,"(-73.58348846, 40.67869949):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.58701324, 40.64511871)", ,13.74000,18.230, , ,,,"(-73.58701324, 40.64511871):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.59088898, 40.81206512)", ,20.54000,31.700, , ,,,"(-73.59088898, 40.81206512): D2: (-73.99899292, 40.73648453)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.59247589, 40.76016998)","(-73.8126297, 40.71932602)",17.15000,24.020,7.57000,10.970,19.58000,24.010,Matched
"(-73.785924, 40.645134)","(-73.59269714, 40.67558289)","(-73.81136322, 40.70120621)",13.25000,18.630,5.82000,9.050,15.13500,23.820,Matched
"(-73.785924, 40.645134)","(-73.59876251, 40.66880798)","(-73.71291351, 40.63681412)",12.78000,17.040,7.18000,11.390,15.70000,18.860,Matched
"(-73.785924, 40.645134)","(-73.60163116, 40.71088791)","(-73.70587158, 40.63222122)",14.22000,19.000,8.56000,13.080,18.06000,22.050,Matched
"(-73.785924, 40.645134)","(-73.60258484, 40.73814011)", ,19.23000,22.470, , ,,,"(-73.60258484, 40.73814011):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.6026535, 40.71641922)", ,14.35000,19.330, , ,,,"(-73.6026535, 40.71641922):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.60733795, 41.05075073)", ,37.07000,55.120, , ,,,"(-73.60733795, 41.05075073):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.60819244, 40.70044708)", ,14.19000,18.560, , ,,,"(-73.60819244, 40.70044708):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.60845947, 40.74168777)", ,16.52000,23.360, , ,,,"(-73.60845947, 40.74168777):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.60857391, 40.74171066)", ,16.52000,23.380, , ,,,"(-73.60857391, 40.74171066):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.61265564, 40.7833786)","(-73.86634827, 40.77128983)",17.56000,25.950,11.90000,16.780,24.87500,32.990,Matched
"(-73.785924, 40.645134)","(-73.6126709, 40.78338623)", ,17.56000,25.950, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.86634827, 40.77128983)']"
"(-73.785924, 40.645134)","(-73.61705017, 40.65373611)", ,11.31000,14.710, , ,,,"(-73.61705017, 40.65373611):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.61734009, 40.67178726)", ,12.16000,16.770, , ,,,"(-73.61734009, 40.67178726):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.61952972, 40.7933197)", ,17.56000,25.210, , ,,,"(-73.61952972, 40.7933197):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.62328339, 40.67127991)", ,11.51000,15.080, , ,,,"(-73.62328339, 40.67127991):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.62735748, 40.68213654)", ,11.56000,15.870, , ,,,"(-73.62735748, 40.68213654):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.62830353, 40.78616333)", ,17.17000,24.750, , ,,,"(-73.62830353, 40.78616333):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.6295166, 40.71663666)", ,13.66000,18.040, , ,,,"(-73.6295166, 40.71663666):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.6297226, 40.79448318)","(-73.8443985, 40.71084213)",18.07000,25.250,7.58000,11.360,20.20500,25.770,Matched
"(-73.785924, 40.645134)","(-73.6299057, 40.86255264)","(-73.81285095, 40.70559311)",23.24000,33.450,6.16000,8.850,22.88500,26.880,Matched
"(-73.785924, 40.645134)","(-73.63143921, 40.74678802)", ,14.50000,19.950, , ,,,"(-73.63143921, 40.74678802):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.63387299, 40.68283081)", ,11.98000,15.340, , ,,,"(-73.63387299, 40.68283081):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.63435364, 40.74076462)", ,14.36000,19.910, , ,,,"(-73.63435364, 40.74076462):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.64154053, 40.58560181)", ,13.95000,20.940, , ,,,"(-73.64154053, 40.58560181):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.64351654, 40.75883865)", ,14.23000,19.920, , ,,,"(-73.64351654, 40.75883865):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.64387512, 40.65026474)", ,10.05000,13.380, , ,,,"(-73.64387512, 40.65026474):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.64633942, 40.75741959)", ,14.10000,19.630, , ,,,"(-73.64633942, 40.75741959):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.64710999, 40.7477417)", ,13.30000,18.000, , ,,,"(-73.64710999, 40.7477417):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.64794159, 40.79216766)", ,16.84000,23.270, , ,,,"(-73.64794159, 40.79216766): D2: (-73.92050934, 40.62305069)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.64797211, 40.77770996)","(-73.90605927, 40.90800476)",16.05000,21.460,24.55000,35.670,26.78000,46.090,Matched
"(-73.785924, 40.645134)","(-73.64853668, 40.66506958)", ,9.99000,13.350, , ,,,"(-73.64853668, 40.66506958):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.64902496, 40.76140213)", ,14.51000,20.860, , ,,,"(-73.64902496, 40.76140213):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65001678, 40.68483734)", ,11.40000,15.180, , ,,,"(-73.65001678, 40.68483734):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65176392, 40.65476608)", ,9.45000,12.620, , ,,,"(-73.65176392, 40.65476608):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.65190887, 40.69399643)", ,10.93000,14.600, , ,,,"(-73.65190887, 40.69399643):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65246582, 40.78062057)", ,15.89000,21.160, , ,,,"(-73.65246582, 40.78062057):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65292358, 40.73903275)", ,13.07000,17.610, , ,,,"(-73.65292358, 40.73903275):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65359497, 40.59374619)", ,13.36000,20.070, , ,,,"(-73.65359497, 40.59374619):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.6550293, 40.78738022)", ,16.46000,22.620, , ,,,"(-73.6550293, 40.78738022):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65522766, 40.5846405)", ,13.32000,20.270, , ,,,"(-73.65522766, 40.5846405):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65657043, 40.7841568)", ,16.46000,22.830, , ,,,"(-73.65657043, 40.7841568):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65779877, 40.65666199)", ,8.93000,11.310, , ,,,"(-73.65779877, 40.65666199):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65789032, 40.65659332)","(-73.94700623, 40.78406906)",8.93000,11.300,18.90000,26.810,14.58000,34.410,Matched
"(-73.785924, 40.645134)","(-73.65815735, 40.65668488)","(-74.01477814, 40.70780563)",8.92000,11.290,17.34000,27.460,14.56500,33.690,Matched
"(-73.785924, 40.645134)","(-73.65825653, 40.71167374)", ,10.88000,16.600, , ,,,"(-73.65825653, 40.71167374):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65846252, 40.65683365)","(-73.95249176, 40.78615952)",8.90000,11.270,19.30000,27.910,14.53500,34.810,Matched
"(-73.785924, 40.645134)","(-73.65848541, 40.69094467)", ,10.42000,13.280, , ,,,"(-73.65848541, 40.69094467):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65882874, 40.67594147)", ,10.62000,14.450, , ,,,"(-73.65882874, 40.67594147):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65969086, 40.74602509)", ,12.92000,17.690, , ,,,"(-73.65969086, 40.74602509):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.6607132, 40.75088882)", ,13.22000,18.370, , ,,,"(-73.6607132, 40.75088882):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.66163635, 40.73672104)", ,12.92000,17.470, , ,,,"(-73.66163635, 40.73672104):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.66227722, 40.76880646)", ,15.26000,20.350, , ,,,"(-73.66227722, 40.76880646):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.66446686, 40.60154343)", ,14.28000,21.710, , ,,,"(-73.66446686, 40.60154343):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.66588593, 40.65827179)", ,8.64000,11.290, , ,,,"(-73.66588593, 40.65827179):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.66590881, 40.58461761)", ,12.66000,19.090, , ,,,"(-73.66590881, 40.58461761):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.66686249, 40.58459473)", ,12.61000,18.900, , ,,,"(-73.66686249, 40.58459473):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.66726685, 40.65103531)", ,8.58000,11.800, , ,,,"(-73.66726685, 40.65103531):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.66885376, 40.76163101)", ,14.37000,20.120, , ,,,"(-73.66885376, 40.76163101):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.66889954, 40.74611282)", ,12.53000,17.530, , ,,,"(-73.66889954, 40.74611282):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.67088318, 40.63800812)","(-73.89226532, 40.88434601)",9.80000,14.440,21.63000,30.460,17.02000,39.500,Matched
"(-73.785924, 40.645134)","(-73.67360687, 40.65511322)", ,8.09000,10.340, , ,,,"(-73.67360687, 40.65511322):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.67424774, 40.6819725)", ,10.46000,14.100, , ,,,"(-73.67424774, 40.6819725):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.67427826, 40.64788437)", ,8.80000,11.950, , ,,,"(-73.67427826, 40.64788437):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.67459869, 40.73242188)", ,11.62000,15.860, , ,,,"(-73.67459869, 40.73242188):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.67498779, 40.58443451)", ,12.19000,18.330, , ,,,"(-73.67498779, 40.58443451):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.67539215, 40.76790237)", ,15.12000,20.690, , ,,,"(-73.67539215, 40.76790237):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.67636871, 40.65128708)", ,8.64000,11.560, , ,,,"(-73.67636871, 40.65128708):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.67685699, 40.79839325)", ,16.95000,24.490, , ,,,"(-73.67685699, 40.79839325):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.67722321, 40.59241867)", ,12.30000,18.800, , ,,,"(-73.67722321, 40.59241867):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.6774292, 40.7148056)","(-73.95960236, 40.79855347)",10.12000,14.780,19.25000,28.130,17.51000,35.820,Matched
"(-73.785924, 40.645134)","(-73.67747498, 40.66089249)","(-73.99295044, 40.73162079)",8.38000,11.600,15.45000,27.850,14.18000,31.380,Matched
"(-73.785924, 40.645134)","(-73.67809296, 40.68344879)", ,8.92000,10.920, , ,,,"(-73.67809296, 40.68344879):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.67971039, 40.72925186)", ,11.61000,15.530, , ,,,"(-73.67971039, 40.72925186):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.68055725, 40.7105217)","(-73.97219849, 40.79576874)",9.50000,14.160,20.30000,30.460,16.58000,38.740,Matched
"(-73.785924, 40.645134)","(-73.68109131, 40.68904877)", ,9.25000,12.890, , ,,,"(-73.68109131, 40.68904877):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.68177032, 40.81151581)", ,18.03000,26.220, , ,,,"(-73.68177032, 40.81151581):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.68198395, 40.72533417)", ,10.32000,15.550, , ,,,"(-73.68198395, 40.72533417):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.68203735, 40.69597244)","(-73.99303436, 40.74307251)",9.43000,12.570,18.39000,27.730,15.71500,32.940,Matched
"(-73.785924, 40.645134)","(-73.68244934, 40.73498535)", ,11.31000,15.240, , ,,,"(-73.68244934, 40.73498535):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.68280792, 40.79383469)","(-73.73206329, 40.77388382)",16.41000,23.320,13.25000,18.230,24.91000,21.560,Matched
"(-73.785924, 40.645134)","(-73.68424988, 41.33473969)","(-73.92936707, 40.76796341)",60.20000,77.510,15.02000,20.560,53.77500,69.710,Matched
"(-73.785924, 40.645134)","(-73.68769836, 40.73691177)", ,11.38000,15.500, , ,,,"(-73.68769836, 40.73691177):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.68809509, 40.64019775)","(-73.79837036, 40.66726685)",8.71000,13.140,3.03000,6.220,9.60000,13.620,Matched
"(-73.785924, 40.645134)","(-73.68875885, 40.63022232)", ,9.27000,15.860, , ,,,"(-73.68875885, 40.63022232):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.68972778, 40.83294296)", ,19.63000,28.920, , ,,,"(-73.68972778, 40.83294296):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.69223785, 40.58423996)", ,10.97000,15.770, , ,,,"(-73.69223785, 40.58423996):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.69268036, 40.65719986)", ,7.14000,9.480, , ,,,"(-73.69268036, 40.65719986):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.69270325, 40.80578995)", ,16.77000,26.080, , ,,,"(-73.69270325, 40.80578995):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.69335938, 40.64389801)", ,8.11000,11.600, , ,,,"(-73.69335938, 40.64389801):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.69373322, 40.69089127)", ,9.23000,12.730, , ,,,"(-73.69373322, 40.69089127):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.69408417, 40.73365402)","(-74.03071594, 40.72745514)",10.81000,14.610,16.35000,29.720,18.11500,34.140,Matched
"(-73.785924, 40.645134)","(-73.69438171, 40.81932068)", ,18.31000,29.210, , ,,,"(-73.69438171, 40.81932068):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.69441986, 40.79611969)", ,15.97000,22.960, , ,,,"(-73.69441986, 40.79611969):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.69481659, 40.58742905)", ,10.82000,15.490, , ,,,"(-73.69481659, 40.58742905):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.69483948, 40.66100693)", ,7.09000,10.110, , ,,,"(-73.69483948, 40.66100693):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.69634247, 40.6705246)", ,7.49000,10.540, , ,,,"(-73.69634247, 40.6705246):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.6982193, 40.58498383)", ,10.62000,14.970, , ,,,"(-73.6982193, 40.58498383):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.69884491, 40.78974533)","(-73.8649292, 40.72372818)",15.56000,22.390,9.34000,14.730,20.53500,26.620,Matched
"(-73.785924, 40.645134)","(-73.70021057, 40.63739014)", ,8.03000,11.880, , ,,,"(-73.70021057, 40.63739014):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.7009964, 40.67609787)","(-73.99383545, 40.73270798)",7.95000,10.620,15.58000,28.300,13.26000,30.260,Matched
"(-73.785924, 40.645134)","(-73.70127869, 40.74448395)","(-73.95396423, 40.7661438)",11.12000,15.530,18.26000,27.220,18.88500,33.630,Matched
"(-73.785924, 40.645134)","(-73.70131683, 40.77685928)", ,14.35000,20.130, , ,,,"(-73.70131683, 40.77685928):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.70136261, 40.63613892)","(-73.95839691, 40.80076981)",8.18000,12.180,19.08000,27.630,14.27000,34.660,Matched
"(-73.785924, 40.645134)","(-73.70161438, 40.69246292)", ,7.99000,12.340, , ,,,"(-73.70161438, 40.69246292):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.70195007, 40.73087692)","(-73.97705078, 40.74596786)",10.25000,13.580,17.12000,23.660,17.04000,30.300,Matched
"(-73.785924, 40.645134)","(-73.70217133, 40.96538162)","(-73.95330811, 40.68295288)",28.29000,42.340,11.29000,17.480,32.46000,47.080,Matched
"(-73.785924, 40.645134)","(-73.70222473, 40.74282837)", ,10.99000,15.060, , ,,,"(-73.70222473, 40.74282837):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.7026825, 40.71117783)","(-74.00496674, 40.73664856)",8.26000,12.610,16.67000,30.390,14.56500,31.980,Matched
"(-73.785924, 40.645134)","(-73.70315552, 40.67865372)","(-73.97989655, 40.74072266)",7.92000,10.650,17.66000,25.510,13.24500,30.280,Matched
"(-73.785924, 40.645134)","(-73.70336914, 40.67367172)","(-73.99980164, 40.67920685)",7.18000,11.120,15.37000,24.060,12.74000,29.860,Matched
"(-73.785924, 40.645134)","(-73.70405579, 40.62010956)", ,8.44000,14.560, , ,,,"(-73.70405579, 40.62010956):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.70532227, 40.84545135)", ,21.14000,32.060, , ,,,"(-73.70532227, 40.84545135):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.70545959, 40.69189835)", ,7.70000,11.840, , ,,,"(-73.70545959, 40.69189835):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.70625305, 40.71223068)","(-73.77986908, 40.66662598)",8.29000,12.540,3.51000,5.470,9.78000,12.680,Matched
"(-73.785924, 40.645134)","(-73.70626068, 40.69346237)","(-73.93955994, 40.8535614)",7.72000,11.840,21.56000,29.590,13.64000,31.660,Matched
"(-73.785924, 40.645134)","(-73.70642853, 40.96154785)","(-73.80661774, 40.65947342)",28.01000,42.060,3.48000,5.730,24.51000,31.230,Matched
"(-73.785924, 40.645134)","(-73.70716858, 40.69269943)","(-73.98504639, 40.76416016)",7.52000,11.740,18.49000,27.340,13.39000,31.160,Matched
"(-73.785924, 40.645134)","(-73.70739746, 40.63808823)","(-74.00244141, 40.7350502)",8.16000,11.880,16.00000,29.860,14.10000,32.100,Matched
"(-73.785924, 40.645134)","(-73.70746613, 40.63127518)", ,7.88000,12.460, , ,,,"(-73.70746613, 40.63127518):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.7075119, 40.66496658)","(-73.98123169, 40.78686142)",6.48000,9.020,19.71000,30.070,10.99000,30.360,Matched
"(-73.785924, 40.645134)","(-73.70778656, 40.73738098)", ,10.34000,13.340, , ,,,"(-73.70778656, 40.73738098): D2: (-73.98828888, 40.76157379)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.70806885, 40.5862999)", ,10.08000,14.050, , ,,,"(-73.70806885, 40.5862999):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.7082901, 40.74259567)", ,10.76000,14.880, , ,,,"(-73.7082901, 40.74259567):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.70884705, 40.7360611)","(-73.9588623, 40.79003525)",10.34000,13.560,19.68000,28.450,17.12000,33.050,Matched
"(-73.785924, 40.645134)","(-73.70899963, 40.63416672)", ,7.63000,11.940, , ,,,"(-73.70899963, 40.63416672):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.70989227, 40.78980255)","(-73.81700134, 40.76470566)",15.14000,21.960,11.48000,15.590,22.46000,22.520,Matched
"(-73.785924, 40.645134)","(-73.70995331, 40.78973389)", ,15.15000,21.970, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.81700134, 40.76470566)']"
"(-73.785924, 40.645134)","(-73.71061707, 40.74785233)", ,10.98000,14.490, , ,,,"(-73.71061707, 40.74785233):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.71103668, 40.72935867)", ,9.81000,13.230, , ,,,"(-73.71103668, 40.72935867): D2: (-73.99899292, 40.73648453)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.71120453, 40.67738724)", ,7.56000,10.290, , ,,,"(-73.71120453, 40.67738724):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.71295166, 40.73047256)","(-73.9728775, 40.79693222)",9.95000,13.730,20.41000,31.210,16.81500,36.450,Matched
"(-73.785924, 40.645134)","(-73.71304321, 40.75154877)", ,11.30000,16.050, , ,,,"(-73.71304321, 40.75154877):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.71311188, 40.65761185)", ,6.58000,9.650, , ,,,"(-73.71311188, 40.65761185): D2: (-73.96728516, 40.80197906)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.71311188, 40.75072479)","(-74.01189423, 40.70725632)",11.21000,15.680,15.73000,26.890,19.05000,33.950,Matched
"(-73.785924, 40.645134)","(-73.71377563, 40.73594284)", ,10.03000,12.940, , ,,,"(-73.71377563, 40.73594284): D2: (-73.95492554, 40.77665329)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.71389008, 40.61699677)", ,7.73000,13.620, , ,,,"(-73.71389008, 40.61699677):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.71389771, 40.7009697)","(-73.96520233, 40.76012039)",7.49000,11.100,17.52000,25.370,13.04000,28.800,Matched
"(-73.785924, 40.645134)","(-73.71394348, 40.61698532)", ,7.72000,13.610, , ,,,"(-73.71394348, 40.61698532):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.7143631, 40.65831757)","(-73.80406189, 40.64936066)",6.69000,10.100,1.83000,3.680,6.88000,10.590,Matched
"(-73.785924, 40.645134)","(-73.7144165, 40.71650314)", ,9.17000,15.270, , ,,,"(-73.7144165, 40.71650314):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.71453857, 40.66193008)", ,6.03000,8.180, , ,,,"(-73.71453857, 40.66193008):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.71464539, 40.7493782)","(-73.96504211, 40.75499344)",11.12000,15.280,18.12000,25.820,18.76000,32.240,Matched
"(-73.785924, 40.645134)","(-73.71476746, 40.74906158)","(-73.98773956, 40.73594284)",11.10000,15.190,18.35000,27.750,18.69500,32.400,Matched
"(-73.785924, 40.645134)","(-73.71478271, 40.67665482)","(-73.97331238, 40.78610611)",6.38000,10.580,19.63000,30.370,11.67000,31.760,Matched
"(-73.785924, 40.645134)","(-73.71481323, 40.75701904)", ,11.86000,17.710, , ,,,"(-73.71481323, 40.75701904):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.71486664, 40.73596954)", ,9.95000,12.770, , ,,,"(-73.71486664, 40.73596954):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.71492004, 40.72994232)", ,9.69000,13.520, , ,,,"(-73.71492004, 40.72994232):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.71510315, 40.62858582)","(-73.98267365, 40.75991821)",7.23000,11.840,18.38000,26.390,13.15000,33.160,Matched
"(-73.785924, 40.645134)","(-73.71520996, 40.75508881)", ,11.68000,17.040, , ,,,"(-73.71520996, 40.75508881):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.71535492, 40.75513077)", ,11.68000,17.040, , ,,,"(-73.71535492, 40.75513077):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.71537018, 40.75740814)","(-73.76398468, 40.75062561)",11.82000,17.570,10.70000,16.670,19.48500,21.290,Matched
"(-73.785924, 40.645134)","(-73.71581268, 40.66373062)","(-73.97467804, 40.75841141)",5.78000,7.720,18.06000,26.090,9.64000,27.050,Matched
"(-73.785924, 40.645134)","(-73.71585083, 40.72381973)","(-73.93992615, 40.82625961)",9.53000,12.640,19.81000,28.630,15.85000,30.720,Matched
"(-73.785924, 40.645134)","(-73.71588135, 40.75779724)", ,11.79000,17.440, , ,,,"(-73.71588135, 40.75779724): D2: (-73.97238159, 40.75578308)row not found in NewTripsRequests table"
