source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.94016266, 40.83697891)", ,20.50000,30.710, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.86556244, 40.77087784)', '(-73.81275177, 40.72498322)', '(-73.818367, 40.73160172)', '(-73.87637329, 40.74734116)', '(-73.78199768, 40.6445961)']"
"(-73.785924, 40.645134)","(-73.94017029, 40.8517952)", ,21.43000,29.110, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.68244934, 40.73498535)', '(-73.78891754, 40.64305115)', '(-73.82274628, 40.68207932)', '(-73.91970825, 40.84786987)', '(-73.75619507, 40.69025421)', '(-73.85245514, 40.71651077)', '(-73.84436035, 40.77154922)']"
"(-73.785924, 40.645134)","(-73.94017792, 40.80555725)", ,17.64000,25.070, , ,,,"(-73.94017792, 40.80555725): D2: (-73.82176208, 40.70066071)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.94020844, 40.69870377)", ,10.95000,17.270, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.93143463, 40.67992783)', '(-73.86332703, 40.68963623)']"
"(-73.785924, 40.645134)","(-73.94025421, 40.72308731)", ,12.96000,21.000, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.72776794, 40.67670822)', '(-73.78463745, 40.74103928)', '(-73.83287811, 40.72714233)', '(-73.82482147, 40.73115921)', '(-73.81962585, 40.71257782)', '(-73.86180878, 40.76847458)', '(-73.78878784, 40.64218903)', '(-73.83914185, 40.66523361)', '(-73.89097595, 40.67889404)']"
"(-73.785924, 40.645134)","(-73.94025421, 40.83392334)", ,20.24000,29.970, , ,,,"(-73.94025421, 40.83392334):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.94026184, 40.68666077)","(-73.91213989, 40.71327972)",10.90000,18.620,11.03000,17.270,20.21000,21.810,Matched
"(-73.785924, 40.645134)","(-73.94026184, 40.83409119)","(-73.85269165, 40.73843384)",20.25000,29.990,9.63000,13.510,24.62500,25.080,Matched
"(-73.785924, 40.645134)","(-73.94026947, 40.80633163)", ,17.71000,25.230, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.8314209, 40.70735931)', '(-73.90774536, 40.75542068)', '(-73.85055542, 40.72867203)', '(-73.79012299, 40.64686584)', '(-73.89295197, 40.82765961)']"
"(-73.785924, 40.645134)","(-73.94032288, 40.72320175)", ,12.95000,20.970, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78968048, 40.68764877)']"
"(-73.785924, 40.645134)","(-73.94032288, 40.83396912)", ,20.24000,29.970, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.83548737, 40.68564987)', '(-73.78361511, 40.64639282)']"
"(-73.785924, 40.645134)","(-73.94032288, 40.84524918)", ,21.47000,30.100, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.87229919, 40.72608185)', '(-73.82396698, 40.76646805)', '(-73.79000854, 40.64689636)']"
"(-73.785924, 40.645134)","(-73.94033051, 40.75204849)", ,16.42000,23.310, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78246307, 40.64682007)', '(-73.91817474, 40.7457962)', '(-73.8685379, 40.70507813)']"
"(-73.785924, 40.645134)","(-73.94033813, 40.75210571)","(-73.90579987, 40.67977524)",16.41000,23.300,8.90000,13.280,20.55000,20.100,Matched
"(-73.785924, 40.645134)","(-73.94034576, 40.76054001)","(-73.79608154, 40.66765976)",15.94000,22.480,2.94000,5.770,14.18000,18.630,Matched
"(-73.785924, 40.645134)","(-73.94035339, 40.82450485)", ,19.83000,28.410, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.84278107, 40.66295624)', '(-73.75093842, 40.73596954)', '(-73.87071991, 40.77399063)', '(-73.80123138, 40.78456116)', '(-73.85987091, 40.72019577)', '(-73.8425827, 40.68133926)']"
"(-73.785924, 40.645134)","(-73.94036865, 40.74936295)", ,15.66000,22.100, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78746796, 40.75193024)', '(-73.79921722, 40.66733551)', '(-73.78070068, 40.6451683)', '(-73.85754395, 40.73370361)', '(-73.92581177, 40.7406311)']"
"(-73.785924, 40.645134)","(-73.94037628, 40.81637573)","(-73.90973663, 40.76758575)",18.89000,27.420,14.01000,19.000,27.72000,23.890,Matched
"(-73.785924, 40.645134)","(-73.94039154, 40.74938965)", ,15.66000,22.110, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.85317993, 40.7536087)', '(-73.86177826, 40.73535156)', '(-73.87722778, 40.75752258)', '(-73.78494263, 40.64851761)']"
"(-73.785924, 40.645134)","(-73.9404068, 40.78929138)","(-73.92825317, 40.75447083)",18.42000,26.570,15.62000,21.870,28.90500,27.220,Matched
"(-73.785924, 40.645134)","(-73.94041443, 40.81638718)","(-73.90385437, 40.77363586)",18.88000,27.410,13.78000,19.020,27.48500,24.280,Matched
"(-73.785924, 40.645134)","(-73.94042206, 40.82637024)","(-73.89761353, 40.8456192)",19.78000,28.530,19.00000,26.180,33.26500,29.800,Matched
