id,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,pickup_cords,ratecodeid,store_and_fwd_flag,dropoff_latitude,dropoff_longitude,dropoff_cords,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
20001,2,1/3/2016 14:15,1/3/2016 15:06,1,19,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98184967,40.7253418,"-73.981849670000000,40.725341800000000",2,52,0,0.5,0,0,0.3,52.8
20002,2,1/3/2016 14:15,1/3/2016 14:59,1,18.35,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97959137,40.73313522,"-73.979591370000000,40.733135220000000",1,52,0,0.5,7,5.54,0.3,65.34
20003,2,1/3/2016 14:15,1/3/2016 14:56,1,16.1,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.95619202,40.71535873,"-73.956192020000000,40.715358730000000",1,46.5,0,0.5,9.46,0,0.3,56.76
20004,1,1/3/2016 14:15,1/3/2016 15:07,1,17.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98292542,40.76512527,"-73.982925420000000,40.765125270000000",1,52,0,0.5,10.55,0,0.3,63.35
20005,2,1/3/2016 14:15,1/3/2016 14:55,1,17.94,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.9887085,40.73307037,"-73.988708500000000,40.733070370000000",1,52,0,0.5,11.67,5.54,0.3,70.01
20006,2,1/3/2016 14:15,1/3/2016 14:46,2,8.86,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.84788513,40.72732544,"-73.847885130000000,40.727325440000000",1,29,0,0.5,5.96,0,0.3,35.76
20007,2,1/3/2016 14:15,1/3/2016 15:00,2,18.2,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.99863434,40.73404312,"-73.998634340000000,40.734043120000000",1,52,0,0.5,14.58,5.54,0.3,72.92
20008,1,1/3/2016 14:15,1/3/2016 14:19,1,0.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.79402924,40.65670776,"-73.794029240000000,40.656707760000000",1,4.5,0,0.5,0.75,0,0.3,6.05
20009,1,1/3/2016 14:15,1/3/2016 14:57,1,16.1,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.95572662,40.73728561,"-73.955726620000000,40.737285610000000",1,47.5,0,0.5,9.65,0,0.3,57.95
20010,1,1/3/2016 14:16,1/3/2016 15:03,1,21.6,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-74.00965118,40.70612717,"-74.009651180000000,40.706127170000000",1,52,0,0.5,10.55,0,0.3,63.35
20011,1,1/3/2016 14:16,1/3/2016 14:58,2,19.2,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.95028687,40.77879715,"-73.950286870000000,40.778797150000000",2,52,0,0.5,0,5.54,0.3,58.34
20012,2,1/3/2016 14:16,1/3/2016 14:58,1,16.68,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98169708,40.7516098,"-73.981697080000000,40.751609800000000",2,52,0,0.5,0,5.54,0.3,58.34
20013,1,1/3/2016 14:16,1/3/2016 14:42,1,16.5,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.97242737,40.60422516,"-73.972427370000000,40.604225160000000",1,45,0,0.5,9.15,0,0.3,54.95
20014,2,1/3/2016 14:16,1/3/2016 14:55,1,20,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.96289825,40.64901352,"-73.962898250000000,40.649013520000000",2,56,0,0.5,0,0,0.3,56.8
20015,2,1/3/2016 14:16,1/3/2016 15:15,1,28.4,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",4,N,-73.90385437,40.93462372,"-73.903854370000000,40.934623720000000",1,79,0,0.5,17.07,5.54,0.3,102.41
20016,1,1/3/2016 14:17,1/3/2016 14:56,1,17.3,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97213745,40.75091553,"-73.972137450000000,40.750915530000000",1,52,0,0.5,9,5.54,0.3,67.34
20017,2,1/3/2016 14:17,1/3/2016 15:01,1,18.74,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.945755,40.7735939,"-73.945755000000000,40.773593900000000",1,52,0,0.5,6,5.54,0.3,64.34
20018,2,1/3/2016 14:17,1/3/2016 15:02,1,19.38,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.96622467,40.79140472,"-73.966224670000000,40.791404720000000",1,52,0,0.5,10,5.54,0.3,68.34
20019,2,1/3/2016 14:17,1/3/2016 14:51,2,12.45,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.87077332,40.7738533,"-73.870773320000000,40.773853300000000",1,37.5,0,0.5,7.66,0,0.3,45.96
20020,2,1/3/2016 14:17,1/3/2016 15:09,2,18.59,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-74.00378418,40.72943878,"-74.003784180000000,40.729438780000000",1,52,0,0.5,7,0,0.3,59.8
