id,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2,2016-01-01 00:00:00,2016-01-01 00:19:00,2,11.87,-73.780822750000000,40.645183560000000,1,N,-73.890846250000000,40.743007660000000,1,33.00,0.50,0.50,8.58,0.00,0.30,42.88
2,2,2016-01-01 00:00:00,2016-01-01 00:28:00,4,15.64,-73.787139890000000,40.644050600000000,1,N,-73.948425290000000,40.730735780000000,2,44.00,0.50,0.50,0.00,0.00,0.30,45.30
3,2,2016-01-01 00:01:00,2016-01-01 00:18:00,3,15.25,-73.781806950000000,40.644863130000000,1,N,-73.937973020000000,40.726325990000000,1,40.50,0.50,0.50,0.00,0.00,0.30,41.80
4,2,2016-01-01 00:01:00,2016-01-01 00:31:00,1,13.64,-73.781921390000000,40.644760130000000,1,N,-73.979248050000000,40.661869050000000,2,39.00,0.50,0.50,0.00,0.00,0.30,40.30
5,2,2016-01-29 09:19:00,2016-01-29 09:44:00,2,9.80,-73.776672360000000,40.645393370000000,1,N,-73.922119140000000,40.673480990000000,2,29.50,0.00,0.50,0.00,0.00,0.30,30.30
6,1,2016-01-29 09:19:00,2016-01-29 09:32:00,1,5.90,-73.789909360000000,40.646884920000000,1,N,-73.823760990000000,40.705383300000000,2,18.00,0.00,0.50,0.00,0.00,0.30,18.80
7,1,2016-01-29 09:19:00,2016-01-29 10:18:00,3,42.00,-73.776763920000000,40.645427700000000,3,N,-74.177665710000000,40.695465090000000,1,126.00,0.00,0.00,0.01,16.04,0.30,142.35
8,2,2016-01-02 00:47:00,2016-01-02 01:17:00,2,18.27,-73.785476680000000,40.645629880000000,2,N,-73.991287230000000,40.754940030000000,2,52.00,0.00,0.50,0.00,5.54,0.30,58.34
9,2,2016-01-02 00:47:00,2016-01-02 01:07:00,1,13.40,-73.790451050000000,40.644100190000000,1,N,-73.886810300000000,40.758480070000000,1,36.50,0.50,0.50,3.00,0.00,0.30,40.80
10,2,2016-01-02 00:47:00,2016-01-02 01:12:00,1,18.66,-73.781883240000000,40.644741060000000,2,N,-73.983940120000000,40.726261140000000,1,52.00,0.00,0.50,10.56,0.00,0.30,63.36
11,1,2016-01-02 00:47:00,2016-01-02 01:11:00,1,10.80,-73.790161130000000,40.643245700000000,1,N,-73.928176880000000,40.685794830000000,2,31.00,0.50,0.50,0.00,0.00,0.30,32.30
12,1,2016-01-02 00:47:00,2016-01-02 01:18:00,1,12.10,-73.789810180000000,40.643516540000000,1,N,-73.943199160000000,40.694091800000000,1,36.50,0.50,0.50,4.00,0.00,0.30,41.80
13,2,2016-01-02 00:47:00,2016-01-02 01:10:00,1,14.84,-73.789268490000000,40.646942140000000,1,N,-73.944412230000000,40.714813230000000,1,40.50,0.50,0.50,8.36,0.00,0.30,50.16
