source_coords,dest1_coords,dest2_coords,ret_angle,source_D1_distance(in miles),source_D1_time(in minutes),source_D1_avg_speed(per minute),original_cost$2,original_cost$2.5,original_cost$3,original_cost$4,original_accepted_delay,D1_D2_distance(in miles),D1_D2_time(in minutes),D1_D2_avg_speed(per minute),D1_D2_cost$2,D1_D2_cost$2.5,D1_D2_cost$3,D1_D2_cost$4
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.83031464, 40.75976563)",10.63,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.07,13.85,0.51,14.14,17.675,21.21,28.28
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.68109131, 40.68904877)",5.63,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,18.71,28.51,0.66,37.42,46.775000000000006,56.13,74.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.01486206, 40.71680069)",162.9,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.93,15.7,0.44,13.86,17.325,20.79,27.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98248291, 40.77973557)",169.94,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.0,11.16,0.45,10.0,12.5,15.0,20.0
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9710083, 40.79826355)",145.01,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.18,13.94,0.51,14.36,17.95,21.54,28.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98879242, 40.75860596)",176.62,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.53,8.69,0.41,7.06,8.825,10.59,14.12
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99786377, 40.76591492)",178.14,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.04,13.03,0.39,10.08,12.6,15.120000000000001,20.16
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00089264, 40.73995972)",168.49,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.18,11.01,0.38,8.36,10.45,12.54,16.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98234558, 40.67821121)",134.85,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.86,14.53,0.47,13.72,17.150000000000002,20.580000000000002,27.44
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.96772766, 40.75363159)",179.83,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.18,7.85,0.41,6.36,7.95,9.540000000000001,12.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98284912, 40.71765518)",153.99,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.08,11.74,0.43,10.16,12.7,15.24,20.32
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.02532959, 40.6323967)",146.42,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,10.77,22.65,0.48,21.54,26.924999999999997,32.31,43.08
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.87651825, 40.70529175)",0.76,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.69,13.3,0.5,13.38,16.725,20.07,26.76
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.96207428, 40.72060013)",119.07,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.77,8.16,0.34,5.54,6.925,8.31,11.08
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.01648712, 40.71657562)",163.05,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.05,16.0,0.44,14.1,17.625,21.15,28.2
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99307251, 40.72608185)",162.06,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.27,12.19,0.35,8.54,10.674999999999999,12.809999999999999,17.08
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.94113159, 40.80767822)",56.82,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.77,13.2,0.59,15.54,19.424999999999997,23.31,31.08
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.86340332, 40.76890564)",12.76,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.62,14.81,0.45,13.24,16.55,19.86,26.48
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97676849, 40.72483063)",154.3,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.18,11.23,0.37,8.36,10.45,12.54,16.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.96181488, 40.76241684)",151.03,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.96,6.62,0.45,5.92,7.4,8.879999999999999,11.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.81335449, 40.69273758)",2.98,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,10.56,16.65,0.63,21.12,26.400000000000002,31.68,42.24
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.78401947, 40.66558075)",1.5,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,13.79,20.64,0.67,27.58,34.474999999999994,41.37,55.16
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9894104, 40.73236084)",164.02,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.76,10.29,0.37,7.52,9.399999999999999,11.28,15.04
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97794342, 40.74981308)",173.05,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.48,6.55,0.38,4.96,6.2,7.4399999999999995,9.92
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99517059, 40.7519989)",173.02,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.44,8.99,0.38,6.88,8.6,10.32,13.76
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.76860809, 40.67494583)",2.89,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,14.13,22.68,0.62,28.26,35.325,42.39,56.52
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97564697, 40.79450989)",154.8,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.26,14.45,0.43,12.52,15.649999999999999,18.78,25.04
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.93948364, 40.75179291)",13.51,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,1.57,4.37,0.36,3.14,3.9250000000000003,4.71,6.28
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98609161, 40.75064468)",172.92,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.09,7.42,0.42,6.18,7.725,9.27,12.36
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00788879, 40.73287582)",166.67,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.64,13.14,0.35,9.28,11.6,13.919999999999998,18.56
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.7859726, 40.70344162)",4.93,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,11.56,18.9,0.61,23.12,28.900000000000002,34.68,46.24
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99035645, 40.74861145)",171.74,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.17,7.91,0.4,6.34,7.925,9.51,12.68
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99325562, 40.69808197)",150.91,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.14,13.76,0.45,12.28,15.35,18.419999999999998,24.56
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.79842377, 40.66729355)",1.0,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,13.51,20.24,0.67,27.02,33.775,40.53,54.04
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99121094, 40.77474594)",176.63,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.15,11.79,0.44,10.3,12.875,15.450000000000001,20.6
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.96943665, 40.67524338)",114.43,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.27,14.72,0.43,12.54,15.674999999999999,18.81,25.08
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00431824, 40.7321167)",166.1,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.5,12.55,0.36,9.0,11.25,13.5,18.0
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98944855, 40.75870514)",176.56,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.92,9.67,0.41,7.84,9.8,11.76,15.68
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95353699, 40.67642212)",72.79,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.75,13.27,0.43,11.5,14.375,17.25,23.0
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98981476, 40.66015244)",135.4,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,8.41,17.51,0.48,16.82,21.025,25.23,33.64
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.84313965, 40.71194077)",4.09,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.94,14.95,0.53,15.88,19.85,23.82,31.76
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95591736, 40.77721024)",96.0,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.29,9.71,0.44,8.58,10.725,12.870000000000001,17.16
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.81406403, 40.70828247)",4.68,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,10.21,16.55,0.62,20.42,25.525000000000002,30.630000000000003,40.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99308014, 40.74753952)",171.22,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.42,8.5,0.4,6.84,8.55,10.26,13.68
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99282837, 40.76184082)",177.39,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.01,9.45,0.42,8.02,10.024999999999999,12.03,16.04
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95754242, 40.76266098)",114.3,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.27,7.67,0.43,6.54,8.175,9.81,13.08
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97813416, 40.75159073)",174.32,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.26,8.08,0.4,6.52,8.149999999999999,9.78,13.04
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97698212, 40.78344345)",163.01,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.33,11.78,0.45,10.66,13.325,15.99,21.32
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97953033, 40.74714661)",171.09,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.46,6.37,0.39,4.92,6.15,7.38,9.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.94884491, 40.70349884)",49.0,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.7,9.37,0.39,7.4,9.25,11.100000000000001,14.8
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98316193, 40.76158142)",179.51,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.91,9.42,0.41,7.82,9.775,11.73,15.64
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.96995544, 40.67879105)",116.83,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.18,14.76,0.42,12.36,15.45,18.54,24.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.94617462, 40.7204628)",26.76,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.28,6.54,0.35,4.56,5.699999999999999,6.84,9.12
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99029541, 40.75571823)",175.04,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.34,8.2,0.41,6.68,8.35,10.02,13.36
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97706604, 40.73492813)",161.85,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.29,8.52,0.39,6.58,8.225,9.870000000000001,13.16
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97051239, 40.786026)",151.73,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.42,12.19,0.45,10.84,13.55,16.259999999999998,21.68
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97590637, 40.74871063)",172.37,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.33,5.87,0.4,4.66,5.825,6.99,9.32
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.80010986, 40.66250992)",0.43,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,12.78,18.62,0.69,25.56,31.95,38.339999999999996,51.12
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.92940521, 40.62390518)",42.68,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,9.99,20.58,0.49,19.98,24.975,29.97,39.96
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98736572, 40.72679138)",160.79,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.85,10.46,0.37,7.7,9.625,11.55,15.4
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97865295, 40.74855423)",172.09,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.37,5.92,0.4,4.74,5.925000000000001,7.11,9.48
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.86171722, 40.7684021)",12.61,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.52,14.42,0.45,13.04,16.299999999999997,19.56,26.08
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.82178497, 40.71535492)",5.27,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,9.69,15.78,0.61,19.38,24.224999999999998,29.07,38.76
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99768066, 40.73866272)",167.8,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.95,10.53,0.38,7.9,9.875,11.850000000000001,15.8
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95080566, 40.72562027)",37.77,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,1.89,5.53,0.34,3.78,4.725,5.67,7.56
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99982452, 40.76128006)",176.16,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.03,9.55,0.42,8.06,10.075000000000001,12.09,16.12
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98419952, 40.6916008)",142.22,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.83,13.08,0.45,11.66,14.575,17.490000000000002,23.32
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.94700623, 40.78406906)",56.65,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.26,9.88,0.53,10.52,13.149999999999999,15.78,21.04
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95744324, 40.80900192)",102.66,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,8.93,15.51,0.58,17.86,22.325,26.79,35.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.83394623, 40.67401886)",0.41,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,10.3,20.85,0.49,20.6,25.75,30.900000000000002,41.2
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.75279999, 40.80947113)",13.92,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,17.82,27.17,0.66,35.64,44.55,53.46,71.28
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00545502, 40.72776031)",164.82,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.79,13.56,0.35,9.58,11.975,14.370000000000001,19.16
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98756409, 40.75964355)",177.36,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.64,8.8,0.41,7.28,9.1,10.92,14.56
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.84983826, 40.78484344)",14.66,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,9.09,19.1,0.48,18.18,22.725,27.27,36.36
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95631409, 40.80651855)",98.88,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,8.99,15.6,0.58,17.98,22.475,26.97,35.96
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.84593201, 40.73078918)",6.68,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.23,12.94,0.56,14.46,18.075000000000003,21.69,28.92
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98290253, 40.77703094)",171.68,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.79,10.84,0.44,9.58,11.975,14.370000000000001,19.16
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.77649689, 40.64636993)",0.13,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,15.52,23.12,0.67,31.04,38.8,46.56,62.08
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.92228699, 40.75895309)",14.56,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.69,6.57,0.41,5.38,6.725,8.07,10.76
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.79389954, 40.65697861)",0.22,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,13.98,22.04,0.63,27.96,34.95,41.94,55.92
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95796204, 40.76950455)",113.47,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.72,8.8,0.42,7.44,9.3,11.16,14.88
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.96577454, 40.76288605)",164.02,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.15,7.22,0.44,6.3,7.875,9.45,12.6
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.6982193, 40.58498383)",0.98,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,21.84,31.12,0.7,43.68,54.6,65.52,87.36
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.94508362, 40.71448898)",29.56,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.9,7.97,0.36,5.8,7.25,8.7,11.6
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.85106659, 40.67853928)",1.24,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,9.68,18.82,0.51,19.36,24.2,29.04,38.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99613953, 40.74285889)",169.34,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.74,9.7,0.39,7.48,9.350000000000001,11.22,14.96
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99399567, 40.66693497)",140.6,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.91,16.67,0.47,15.82,19.775,23.73,31.64
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9783783, 40.74536896)",169.82,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.61,6.89,0.38,5.22,6.5249999999999995,7.83,10.44
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.92141724, 40.77290726)",20.62,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.23,7.23,0.45,6.46,8.075,9.69,12.92
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9903183, 40.71700668)",157.3,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.54,12.56,0.44,11.08,13.85,16.62,22.16
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98099518, 40.73389053)",162.63,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.31,8.49,0.39,6.62,8.275,9.93,13.24
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9849472, 40.68664551)",140.77,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.42,14.61,0.44,12.84,16.05,19.259999999999998,25.68
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99163055, 40.73856354)",167.21,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.52,9.05,0.39,7.04,8.8,10.56,14.08
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9875946, 40.77617264)",174.57,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.86,10.72,0.45,9.72,12.15,14.580000000000002,19.44
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95334625, 40.78569412)",83.3,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.66,10.75,0.53,11.32,14.15,16.98,22.64
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00237274, 40.73343658)",166.34,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.35,11.96,0.36,8.7,10.875,13.049999999999999,17.4
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95172119, 40.72745132)",40.35,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,1.71,5.03,0.34,3.42,4.275,5.13,6.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.91374969, 40.74533844)",8.4,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.6,6.09,0.43,5.2,6.5,7.800000000000001,10.4
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.94592285, 40.79216003)",59.14,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.96,11.56,0.52,11.92,14.9,17.88,23.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97792816, 40.71340179)",147.72,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.85,10.35,0.47,9.7,12.125,14.549999999999999,19.4
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97662354, 40.74937057)",172.84,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.4,6.22,0.39,4.8,6.0,7.199999999999999,9.6
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.89614105, 40.76682281)",14.23,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.93,10.36,0.48,9.86,12.325,14.79,19.72
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99203491, 40.73456573)",165.5,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.67,9.98,0.37,7.34,9.175,11.01,14.68
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00261688, 40.62575912)",135.16,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,11.06,22.89,0.48,22.12,27.650000000000002,33.18,44.24
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95368958, 40.69109344)",71.21,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.6,10.73,0.43,9.2,11.5,13.799999999999999,18.4
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.78650665, 40.66767883)",1.58,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,13.07,20.18,0.65,26.14,32.675,39.21,52.28
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99728394, 40.7220993)",161.46,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.59,13.39,0.34,9.18,11.475,13.77,18.36
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99917603, 40.68454742)",149.09,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.96,15.63,0.45,13.92,17.4,20.88,27.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.94496918, 40.80270767)",62.56,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,8.16,13.82,0.59,16.32,20.4,24.48,32.64
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9776001, 40.7464447)",170.57,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.31,6.01,0.39,4.62,5.775,6.93,9.24
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98982239, 40.71915817)",158.06,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.01,12.08,0.42,10.02,12.524999999999999,15.03,20.04
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.93904114, 40.85153198)",68.14,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,10.86,17.65,0.62,21.72,27.15,32.58,43.44
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.94859314, 40.77395248)",52.84,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.21,9.61,0.44,8.42,10.525,12.629999999999999,16.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95236969, 40.7781105)",74.14,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.41,9.97,0.44,8.82,11.025,13.23,17.64
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9265213, 40.68078232)",22.56,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.54,14.67,0.45,13.08,16.35,19.62,26.16
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99382019, 40.68246078)",145.58,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.05,16.16,0.44,14.1,17.625,21.15,28.2
