source_coords,dest1_coords,dest2_coords,ret_angle,source_D1_distance(in miles),source_D1_time(in minutes),source_D1_avg_speed(per minute),original_cost$2,original_cost$2.5,original_cost$3,original_cost$4,original_accepted_delay,D1_D2_distance(in miles),D1_D2_time(in minutes),D1_D2_avg_speed(per minute),D1_D2_cost$2,D1_D2_cost$2.5,D1_D2_cost$3,D1_D2_cost$4
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97569275, 40.75100327)",174.26,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.56,6.54,0.39,5.12,6.4,7.68,10.24
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97789001, 40.72675323)",156.44,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.91,10.13,0.39,7.82,9.775,11.73,15.64
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98253632, 40.7368927)",164.91,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.09,7.87,0.39,6.18,7.725,9.27,12.36
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00947571, 40.70627975)",159.06,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.21,15.32,0.47,14.42,18.025,21.63,28.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.96814728, 40.80412292)",135.8,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.5,14.87,0.5,15.0,18.75,22.5,30.0
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.89521027, 40.74943161)",9.65,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.72,9.16,0.41,7.44,9.3,11.16,14.88
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98820496, 40.76158905)",178.19,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.08,10.01,0.41,8.16,10.2,12.24,16.32
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97975922, 40.76433182)",177.46,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.08,9.23,0.44,8.16,10.2,12.24,16.32
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.96085358, 40.68349457)",95.38,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.51,13.19,0.42,11.02,13.774999999999999,16.53,22.04
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99588776, 40.75910187)",175.81,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.71,8.78,0.42,7.42,9.275,11.129999999999999,14.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.8571701, 40.72471619)",5.44,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.51,12.46,0.52,13.02,16.275,19.53,26.04
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.93419647, 40.75376892)",13.85,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,1.71,4.91,0.35,3.42,4.275,5.13,6.84
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98220825, 40.7625885)",179.55,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.82,9.21,0.42,7.64,9.549999999999999,11.459999999999999,15.28
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.98371887, 40.76327896)",179.67,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.99,9.84,0.41,7.98,9.975000000000001,11.97,15.96
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9469223, 40.70998001)",38.32,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.05,8.52,0.36,6.1,7.625,9.149999999999999,12.2
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.84281158, 40.71782303)",4.92,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.97,15.03,0.53,15.94,19.925,23.91,31.88
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.92601013, 40.76693344)",19.32,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,2.96,7.18,0.41,5.92,7.4,8.879999999999999,11.84
