id,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,pickup_cords,ratecodeid,store_and_fwd_flag,dropoff_latitude,dropoff_longitude,dropoff_cords,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
10001,1,1/1/2016 23:08,1/1/2016 23:35,1,20.6,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.95560455,40.77166748,"-73.955604550000000,40.771667480000000",2,52,0,0.5,0,5.54,0.3,58.34
10002,2,1/1/2016 23:09,1/1/2016 23:20,1,4.34,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.79483032,40.66749954,"-73.794830320000000,40.667499540000000",2,14.5,0.5,0.5,0,0,0.3,15.8
10003,2,1/1/2016 23:09,1/1/2016 23:29,2,6.48,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.83336639,40.68085098,"-73.833366390000000,40.680850980000000",2,21,0.5,0.5,0,0,0.3,22.3
10004,2,1/1/2016 23:09,1/1/2016 23:31,1,12.34,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.74717712,40.72637177,"-73.747177120000000,40.726371770000000",2,36,0.5,0.5,0,0,0.3,37.3
10005,2,1/1/2016 23:09,1/1/2016 23:39,1,18.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.99655151,40.7321701,"-73.996551510000000,40.732170100000000",1,52,0,0.5,11.67,5.54,0.3,70.01
10006,2,1/1/2016 23:09,1/1/2016 23:40,1,12.32,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.96626282,40.68338776,"-73.966262820000000,40.683387760000000",2,37,0.5,0.5,0,0,0.3,38.3
10007,1,1/1/2016 23:09,1/1/2016 23:24,1,9.6,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.89875031,40.63646698,"-73.898750310000000,40.636466980000000",2,27.5,0.5,0.5,0,0,0.3,28.8
10008,1,1/1/2016 23:09,1/1/2016 23:43,2,19.5,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.96147156,40.79851913,"-73.961471560000000,40.798519130000000",1,52,0,0.5,8,5.54,0.3,66.34
10009,2,1/1/2016 23:09,1/1/2016 23:26,1,10.41,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.90746307,40.64358139,"-73.907463070000000,40.643581390000000",2,29.5,0.5,0.5,0,0,0.3,30.8
10010,1,1/1/2016 23:09,1/1/2016 23:46,1,16,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.95265961,40.65399933,"-73.952659610000000,40.653999330000000",2,47,0.5,0.5,0,0,0.3,48.3
10011,1,1/1/2016 23:09,1/1/2016 23:40,1,18.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.99276733,40.73732376,"-73.992767330000000,40.737323760000000",1,52,0,0.5,11.65,5.54,0.3,69.99
10012,2,1/1/2016 23:09,1/1/2016 23:38,1,20.21,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.995224,40.69274139,"-73.995224000000000,40.692741390000000",1,54.5,0.5,0.5,13.95,0,0.3,69.75
10013,2,1/1/2016 23:10,1/1/2016 23:48,1,20.37,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97557068,40.78973007,"-73.975570680000000,40.789730070000000",1,52,0,0.5,11.67,5.54,0.3,70.01
10014,2,1/1/2016 23:10,1/1/2016 23:36,1,19.17,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.94915771,40.77329254,"-73.949157710000000,40.773292540000000",2,52,0,0.5,0,0,0.3,52.8
10015,1,1/1/2016 23:10,1/1/2016 23:36,1,11.4,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.9376297,40.68994904,"-73.937629700000000,40.689949040000000",2,33.5,0.5,0.5,0,0,0.3,34.8
10016,1,1/1/2016 23:10,1/1/2016 23:45,1,21.1,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-74.04119873,40.62052536,"-74.041198730000000,40.620525360000000",1,57.5,0.5,0.5,7.5,0,0.3,66.3
10017,2,1/1/2016 23:10,1/1/2016 23:42,1,12.46,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.95856476,40.65825272,"-73.958564760000000,40.658252720000000",2,38,0.5,0.5,0,0,0.3,39.3
10018,2,1/1/2016 23:10,1/1/2016 23:40,2,18.46,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97414398,40.73086548,"-73.974143980000000,40.730865480000000",1,52,0,0.5,3,5.54,0.3,61.34
10019,1,1/1/2016 23:10,1/1/2016 23:36,1,18.3,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.9912262,40.71749878,"-73.991226200000000,40.717498780000000",2,52,0,0.5,0,0,0.3,52.8
10020,2,1/1/2016 23:10,1/1/2016 23:24,3,5.22,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.75687408,40.68473053,"-73.756874080000000,40.684730530000000",2,17.5,0.5,0.5,0,0,0.3,18.8
