id,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,pickup_cords,ratecodeid,store_and_fwd_flag,dropoff_latitude,dropoff_longitude,dropoff_cords,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
40011,2,2/2/2016 16:59,2/2/2016 17:50,1,13.58,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.97554779,40.67702866,"-73.975547790527344,40.677028656005859",1,46.5,1,0.5,5,0,0.3,53.3
40012,1,2/2/2016 16:59,2/2/2016 18:00,2,13.8,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.98901367,40.66328049,"-73.989013671875000,40.663280487060547",1,50.5,1,0.5,10.45,0,0.3,62.75
40013,2,2/2/2016 16:59,2/2/2016 17:40,1,17.8,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97766876,40.75482559,"-73.977668762207031,40.754825592041016",1,52,4.5,0.5,6,5.54,0.3,68.84
40014,2,2/2/2016 16:59,2/2/2016 17:23,1,7.92,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.85718536,40.70222473,"-73.857185363769531,40.702224731445313",1,26,1,0.5,0,0,0.3,27.8
40015,2,2/2/2016 17:00,2/2/2016 17:36,1,11.1,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.93079376,40.69300842,"-73.930793762207031,40.693008422851562",1,36,1,0.5,7.56,0,0.3,45.36
40016,2,2/2/2016 17:00,2/2/2016 17:35,1,18.85,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.95339966,40.77260208,"-73.953399658203125,40.772602081298828",1,52,4.5,0.5,12.57,5.54,0.3,75.41
40017,1,2/2/2016 17:00,2/2/2016 17:48,2,22.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.88611603,40.87539291,"-73.886116027832031,40.875392913818359",2,63,1,0.5,0,5.54,0.3,70.34
40018,2,2/2/2016 17:00,2/2/2016 18:04,1,18.83,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-74.00507355,40.71921539,"-74.005073547363281,40.719215393066406",1,52,4.5,0.5,11.46,0,0.3,68.76
40019,1,2/2/2016 17:00,2/2/2016 17:44,1,20,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.95148468,40.77819824,"-73.951484680175781,40.778198242187500",1,52,4.5,0.5,15.7,5.54,0.3,78.54
40020,1,2/2/2016 17:01,2/2/2016 18:16,1,19.4,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.97088623,40.68320084,"-73.970886230468750,40.683200836181641",1,64.5,1,0.5,13.25,0,0.3,79.55
40021,2,2/2/2016 17:01,2/2/2016 17:48,1,18.46,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98244476,40.76276779,"-73.982444763183594,40.762767791748047",1,52,4.5,0.5,12.57,5.54,0.3,75.41
40022,1,2/2/2016 17:01,2/2/2016 17:37,1,17,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.94467926,40.82743835,"-73.944679260253906,40.827438354492188",2,52,4.5,0.5,0,5.54,0.3,62.84
40023,2,2/2/2016 17:01,2/2/2016 17:57,1,18.06,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.9956131,40.75939178,"-73.995613098144531,40.759391784667969",2,52,4.5,0.5,0,5.54,0.3,62.84
40024,1,2/2/2016 17:01,2/2/2016 17:47,1,17.9,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,Y,-73.9838562,40.75732422,"-73.983856201171875,40.757324218750000",2,52,4.5,0.5,0,5.54,0.3,62.84
40025,1,2/2/2016 17:01,2/2/2016 17:47,1,17.8,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98204041,40.75564575,"-73.982040405273438,40.755645751953125",2,52,4.5,0.5,0,5.54,0.3,62.84
40026,2,2/2/2016 17:01,2/2/2016 18:04,3,15.42,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-74.00543976,40.70918274,"-74.005439758300781,40.709182739257813",1,52,4.5,0.5,14.32,0,0.3,71.62
40027,2,2/2/2016 17:02,2/2/2016 17:42,1,17.49,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98175049,40.75656128,"-73.981750488281250,40.756561279296875",1,52,4.5,0.5,12.57,5.54,0.3,75.41
40028,1,2/2/2016 17:02,2/2/2016 17:42,2,18,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97235107,40.75641632,"-73.972351074218750,40.756416320800781",1,52,0,0.5,11.66,5.54,0.3,70
40029,1,2/2/2016 17:02,2/2/2016 17:40,1,16.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,Y,-73.98222351,40.75168991,"-73.982223510742188,40.751689910888672",1,52,4.5,0.5,0,5.54,0.3,62.84
40030,1,2/2/2016 17:02,2/2/2016 17:16,1,5.5,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.84537506,40.66651154,"-73.845375061035156,40.666511535644531",2,18,1,0.5,0,0,0.3,19.8
40031,1,2/2/2016 17:02,2/2/2016 17:41,1,21.1,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.92092896,40.85190582,"-73.920928955078125,40.851905822753906",2,56.5,1,0.5,0,5.54,0.3,63.84
40032,1,2/2/2016 17:03,2/2/2016 17:54,1,19.9,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-74.03762054,40.61917877,"-74.037620544433594,40.619178771972656",1,56,1,0.5,14.45,0,0.3,72.25
40033,1,2/2/2016 17:03,2/2/2016 17:57,1,19.2,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98939514,40.72304916,"-73.989395141601562,40.723049163818359",1,52,4.5,0.5,13.16,5.54,0.3,76
40034,2,2/2/2016 17:03,2/2/2016 17:40,1,17.59,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.9777298,40.75492859,"-73.977729797363281,40.754928588867188",2,52,4.5,0.5,0,5.54,0.3,62.84
40035,2,2/2/2016 17:03,2/2/2016 17:58,1,18.58,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98876953,40.75891113,"-73.988769531250000,40.758911132812500",2,52,4.5,0.5,0,5.54,0.3,62.84
40036,1,2/2/2016 17:03,2/2/2016 17:39,1,17.6,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97322083,40.75595474,"-73.973220825195313,40.755954742431641",1,52,4.5,0.5,15.71,5.54,0.3,78.55
40037,2,2/2/2016 17:03,2/2/2016 17:20,2,11.49,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.86367035,40.76913071,"-73.863670349121094,40.769130706787109",2,31.5,1,0.5,0,0,0.3,33.3
40038,2,2/2/2016 17:03,2/2/2016 17:52,1,17.75,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98928833,40.7581749,"-73.989288330078125,40.758174896240234",2,52,4.5,0.5,0,5.54,0.3,62.84
40039,2,2/2/2016 17:04,2/2/2016 17:52,1,17.6,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.94271088,40.72323608,"-73.942710876464844,40.723236083984375",1,53.5,1,0.5,13.82,0,0.3,69.12
40040,2,2/2/2016 17:04,2/2/2016 17:54,4,18.46,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98973846,40.73360443,"-73.989738464355469,40.733604431152344",1,52,4.5,0.5,15.71,5.54,0.3,78.55
40041,1,2/2/2016 17:04,2/2/2016 17:46,1,17.8,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97415161,40.75561905,"-73.974151611328125,40.755619049072266",1,52,4.5,0.5,14.55,1.02,0.3,72.87
40042,2,2/2/2016 17:04,2/2/2016 17:54,1,17.69,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98570251,40.72314072,"-73.985702514648437,40.723140716552734",1,52,4.5,0.5,11.46,0,0.3,68.76
40043,2,2/2/2016 17:04,2/2/2016 18:08,2,23.17,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-74.06218719,40.59457016,"-74.062187194824219,40.594570159912109",2,66,1,0.5,0,11.08,0.3,78.88
40044,2,2/2/2016 17:04,2/2/2016 17:43,1,18.4,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98730469,40.72845459,"-73.987304687500000,40.728454589843750",1,52,4.5,0.5,12.57,5.54,0.3,75.41
40046,2,2/2/2016 17:04,2/2/2016 17:36,2,19.26,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.93935394,40.82430267,"-73.939353942871094,40.824302673339844",2,52,4.5,0.5,0,5.54,0.3,62.84
40047,1,2/2/2016 17:05,2/2/2016 17:46,3,15.8,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.96990204,40.589077,"-73.969902038574219,40.589076995849609",1,46,1,0.5,9.55,0,0.3,57.35
40048,2,2/2/2016 17:05,2/2/2016 17:58,1,13.12,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.97341156,40.69057083,"-73.973411560058594,40.690570831298828",1,44.5,1,0.5,11.58,0,0.3,57.88
40050,2,2/2/2016 17:05,2/2/2016 17:23,2,11.48,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.85590363,40.7587204,"-73.855903625488281,40.758720397949219",1,31,1,0.5,6.56,0,0.3,39.36
40051,2,2/2/2016 17:05,2/2/2016 17:39,1,16.48,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98484039,40.73783875,"-73.984840393066406,40.737838745117188",1,52,4.5,0.5,15.71,5.54,0.3,78.55
40052,1,2/2/2016 17:05,2/2/2016 18:00,2,18.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-74.00556946,40.72758484,"-74.005569458007813,40.727584838867188",1,52,4.5,0.5,12.57,5.54,0.3,75.41
40053,1,2/2/2016 17:05,2/2/2016 17:39,1,16.2,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97650909,40.74920654,"-73.976509094238281,40.749206542968750",1,52,4.5,0.5,15.7,5.54,0.3,78.54
40054,2,2/2/2016 17:05,2/2/2016 17:47,1,18.34,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98841095,40.72755814,"-73.988410949707031,40.727558135986328",1,52,4.5,0.5,15.71,5.54,0.3,78.55
40055,2,2/2/2016 17:05,2/2/2016 17:58,1,13.46,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.9895401,40.69113922,"-73.989540100097656,40.691139221191406",1,46.5,1,0.5,0,0,0.3,48.3
40056,2,2/2/2016 17:05,2/2/2016 17:37,1,16.65,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.9782486,40.74828339,"-73.978248596191406,40.748283386230469",1,52,4.5,0.5,12.57,5.54,0.3,75.41
40057,2,2/2/2016 17:05,2/2/2016 17:47,1,20.99,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.96028137,40.76410675,"-73.960281372070313,40.764106750488281",1,52,4.5,0.5,7,5.54,0.3,69.84
40058,2,2/2/2016 17:06,2/2/2016 17:46,1,17.65,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98140717,40.75008774,"-73.981407165527344,40.750087738037109",2,52,4.5,0.5,0,5.54,0.3,62.84
40059,1,2/2/2016 17:06,2/2/2016 17:52,2,18.3,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97835541,40.76498413,"-73.978355407714844,40.764984130859375",1,52,4.5,0.5,6,5.54,0.3,68.84
40060,2,2/2/2016 17:06,2/2/2016 17:47,1,18.17,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.96375275,40.75725555,"-73.963752746582031,40.757255554199219",1,52,4.5,0.5,7,5.54,0.3,69.84
40061,1,2/2/2016 17:06,2/2/2016 17:54,1,18.3,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.99125671,40.72611618,"-73.991256713867188,40.726116180419922",1,52,4.5,0.5,12.55,5.54,0.3,75.39
40062,1,2/2/2016 17:06,2/2/2016 17:40,1,11.3,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.93434143,40.68598938,"-73.934341430664063,40.685989379882812",1,36,1,0.5,9.45,0,0.3,47.25
40063,1,2/2/2016 17:06,2/2/2016 17:44,1,16.5,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98082733,40.74368668,"-73.980827331542969,40.743686676025391",1,52,4.5,0.5,7,5.54,0.3,69.84
40064,1,2/2/2016 17:06,2/2/2016 18:03,2,12.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.96360779,40.70264053,"-73.963607788085938,40.702640533447266",2,45.5,1,0.5,0,0,0.3,47.3
40065,2,2/2/2016 17:06,2/2/2016 17:43,1,19.35,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.9508667,40.77503586,"-73.950866699218750,40.775035858154297",2,52,4.5,0.5,0,5.54,0.3,62.84
40066,1,2/2/2016 17:06,2/2/2016 17:44,2,18.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.93743896,40.82287216,"-73.937438964843750,40.822872161865234",2,52,4.5,0.5,0,5.54,0.3,62.84
40067,2,2/2/2016 17:07,2/2/2016 18:07,3,13.77,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.98174286,40.66788101,"-73.981742858886719,40.667881011962891",1,49,1,0.5,10.16,0,0.3,60.96
40068,1,2/2/2016 17:07,2/2/2016 17:07,1,21.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.79000092,40.64652252,"-73.790000915527344,40.646522521972656",2,2.5,1,0.5,0,0,0.3,4.3
40069,1,2/2/2016 17:07,2/2/2016 17:53,1,18.1,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.99125671,40.74654388,"-73.991256713867188,40.746543884277344",1,52,4.5,0.5,12.55,5.54,0.3,75.39
40070,2,2/2/2016 17:07,2/2/2016 18:08,3,15.88,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.98710632,40.69765854,"-73.987106323242187,40.697658538818359",1,54,1,0.5,7.81,0,0.3,63.61
40071,1,2/2/2016 17:07,2/2/2016 17:49,1,17.1,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.9916687,40.75043869,"-73.991668701171875,40.750438690185547",2,52,4.5,0.5,0,5.54,0.3,62.84
40072,1,2/2/2016 17:07,2/2/2016 17:32,1,13.6,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.90697479,40.76234055,"-73.906974792480469,40.762340545654297",2,37.5,1,0.5,0,0,0.3,39.3
40073,1,2/2/2016 17:07,2/2/2016 18:10,1,19.1,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98225403,40.7646637,"-73.982254028320312,40.764663696289063",1,52,4.5,0.5,12.55,5.54,0.3,75.39
40074,1,2/2/2016 17:07,2/2/2016 17:47,1,16.9,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97160339,40.76062012,"-73.971603393554688,40.760620117187500",1,52,4.5,0.5,10,5.54,0.3,72.84
40075,2,2/2/2016 17:07,2/2/2016 17:53,1,17.9,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.99131775,40.75030899,"-73.991317749023437,40.750308990478516",2,52,4.5,0.5,0,5.54,0.3,62.84
40076,1,2/2/2016 17:07,2/2/2016 17:37,1,13.2,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.84453583,40.78542709,"-73.844535827636719,40.785427093505859",1,37.5,1,0.5,0,0,0.3,39.3
40077,2,2/2/2016 17:08,2/2/2016 17:42,1,17.16,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97241974,40.75352859,"-73.972419738769531,40.753528594970703",2,52,4.5,0.5,0,5.54,0.3,62.84
40078,2,2/2/2016 17:08,2/2/2016 18:23,3,18.79,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.99568939,40.69751358,"-73.995689392089844,40.697513580322266",1,62.5,1,0.5,8.08,0,0.3,72.38
40079,1,2/2/2016 17:08,2/2/2016 17:50,1,17.2,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97438049,40.75708389,"-73.974380493164063,40.757083892822266",2,52,4.5,0.5,0,5.54,0.3,62.84
40080,1,2/2/2016 17:08,2/2/2016 17:33,1,13.2,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,Y,-73.95484924,40.74142075,"-73.954849243164063,40.741420745849609",2,52,4.5,0.5,0,0,0.3,57.3
40081,1,2/2/2016 17:08,2/2/2016 17:52,2,16.5,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97763824,40.7504158,"-73.977638244628906,40.750415802001953",2,52,4.5,0.5,0,5.54,0.3,62.84
40082,2,2/2/2016 17:08,2/2/2016 18:01,4,20.76,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98133087,40.77447128,"-73.981330871582031,40.774471282958984",2,52,4.5,0.5,0,5.54,0.3,62.84
40083,1,2/2/2016 17:08,2/2/2016 18:01,1,16.6,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.95780945,40.7220993,"-73.957809448242188,40.722099304199219",1,52,1,0.5,20,0,0.3,73.8
40084,1,2/2/2016 17:09,2/2/2016 17:59,3,21.8,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98190308,40.76273727,"-73.981903076171875,40.762737274169922",1,52,4.5,0.5,15,5.54,0.3,77.84
40085,1,2/2/2016 17:09,2/2/2016 17:50,1,19.4,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.94729614,40.77946472,"-73.947296142578125,40.779464721679688",1,52,4.5,0.5,10,5.54,0.3,72.84
40086,1,2/2/2016 17:09,2/2/2016 17:28,1,11,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.86503601,40.77048874,"-73.865036010742187,40.770488739013672",2,30.5,1,0.5,0,0,0.3,32.3
40087,1,2/2/2016 17:09,2/2/2016 17:48,1,16.5,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97694397,40.7518158,"-73.976943969726563,40.751815795898438",1,52,4.5,0.5,12.55,5.54,0.3,75.39
40088,2,2/2/2016 17:09,2/2/2016 17:45,1,11.92,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.79660797,40.75833893,"-73.796607971191406,40.758338928222656",2,37.5,1,0.5,0,0,0.3,39.3
40089,2,2/2/2016 17:09,2/2/2016 17:51,2,19.17,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.951828,40.77775574,"-73.951828002929687,40.777755737304688",2,52,4.5,0.5,0,0,0.3,57.3
40090,1,2/2/2016 17:10,2/2/2016 17:52,1,17.9,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97786713,40.72551346,"-73.977867126464844,40.725513458251953",2,52,4.5,0.5,0,5.54,0.3,62.84
40091,2,2/2/2016 17:10,2/2/2016 17:48,1,20.8,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.95832825,40.76401901,"-73.958328247070312,40.764019012451172",1,52,4.5,0.5,5,5.54,0.3,67.84
40049,2,2/2/2016 17:10,2/2/2016 17:53,1,17.82,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98497009,40.75535583,"-73.984970092773438,40.755355834960938",2,52,4.5,0.5,0,0,0.3,57.3
40092,2,2/2/2016 17:10,2/2/2016 17:59,1,11.47,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.87129974,40.75066757,"-73.871299743652344,40.750667572021484",2,41,1,0.5,0,0,0.3,42.8
40093,1,2/2/2016 17:10,2/2/2016 18:04,1,18.9,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.98471832,40.60895538,"-73.984718322753906,40.608955383300781",2,54.5,1,0.5,0,0,0.3,56.3
40045,2,2/2/2016 17:10,2/2/2016 17:43,1,15.75,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.95581055,40.74501038,"-73.955810546875000,40.745010375976563",2,44,1,0.5,0,0,0.3,45.8
40094,2,2/2/2016 17:10,2/2/2016 18:05,2,18.83,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98371124,40.76277924,"-73.983711242675781,40.762779235839844",2,52,4.5,0.5,0,5.54,0.3,62.84
40095,2,2/2/2016 17:10,2/2/2016 17:31,1,11.04,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.83463287,40.77015686,"-73.834632873535156,40.770156860351562",2,31,1,0.5,0,0,0.3,32.8
40096,1,2/2/2016 17:11,2/2/2016 17:58,1,17.8,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98819733,40.75493622,"-73.988197326660156,40.754936218261719",1,52,0,0.5,11.66,5.54,0.3,70
40097,1,2/2/2016 17:11,2/2/2016 18:05,1,14,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.9863205,40.66414642,"-73.986320495605469,40.664146423339844",2,48,1,0.5,0,0,0.3,49.8
40098,1,2/2/2016 17:11,2/2/2016 17:58,1,22.5,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98303223,40.76004791,"-73.983032226562500,40.760047912597656",1,52,4.5,0.5,15,5.54,0.3,77.84
40099,2,2/2/2016 17:11,2/2/2016 17:34,1,12.58,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.86540985,40.77078629,"-73.865409851074219,40.770786285400391",1,35,1,0.5,11.04,0,0.3,47.84
40100,1,2/2/2016 17:11,2/2/2016 17:41,1,15.4,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.92508698,40.76648712,"-73.925086975097656,40.766487121582031",1,43,1,0.5,8.95,0,0.3,53.75
40101,1,2/2/2016 17:11,2/2/2016 17:53,1,17.4,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.96974945,40.7609787,"-73.969749450683594,40.760978698730469",2,52,4.5,0.5,0,5.54,0.3,62.84
40102,1,2/2/2016 17:12,2/2/2016 18:31,1,18.7,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.98281097,40.70198059,"-73.982810974121094,40.701980590820312",1,64,1,0.5,16.45,0,0.3,82.25
40103,2,2/2/2016 17:12,2/2/2016 17:49,1,16.59,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.95935059,40.7307663,"-73.959350585937500,40.730766296386719",2,46.5,1,0.5,0,0,0.3,48.3
40104,1,2/2/2016 17:12,2/2/2016 17:54,1,20.2,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97121429,40.79538727,"-73.971214294433594,40.795387268066406",1,52,4.5,0.5,12.55,5.54,0.3,75.39
40105,2,2/2/2016 17:12,2/2/2016 18:02,1,18.83,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98117828,40.76781082,"-73.981178283691406,40.767810821533203",2,52,4.5,0.5,0,0,0.3,57.3
40106,2,2/2/2016 17:12,2/2/2016 18:34,1,34.81,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-74.19774628,40.54402924,"-74.197746276855469,40.544029235839844",2,95,1,0.5,0,11.08,0.3,107.88
40107,2,2/2/2016 17:13,2/2/2016 17:41,2,14.76,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.91272736,40.77703094,"-73.912727355957031,40.777030944824219",2,41,1,0.5,0,0,0.3,42.8
40108,1,2/2/2016 17:13,2/2/2016 17:50,1,16.5,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,Y,-73.9855957,40.7557373,"-73.985595703125000,40.755737304687500",1,52,4.5,0.5,5.55,5.54,0.3,68.39
40109,2,2/2/2016 17:13,2/2/2016 18:07,2,17.75,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.99568176,40.75952911,"-73.995681762695313,40.759529113769531",2,52,4.5,0.5,0,5.54,0.3,62.84
40110,1,2/2/2016 17:13,2/2/2016 18:04,1,21.6,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98623657,40.78046417,"-73.986236572265625,40.780464172363281",2,52,4.5,0.5,0,5.54,0.3,62.84
40111,2,2/2/2016 17:13,2/2/2016 17:50,1,10.79,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.94077301,40.67914581,"-73.940773010253906,40.679145812988281",1,35.5,1,0.5,7.46,0,0.3,44.76
