id,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,pickup_cords,ratecodeid,store_and_fwd_flag,dropoff_latitude,dropoff_longitude,dropoff_cords,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
40001,1,2/2/2016 16:58,2/2/2016 17:42,1,19.4,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97111511,40.78767776,"-73.971115112304688,40.787677764892578",1,52,4.5,0.5,12.55,5.54,0.3,75.39
40002,1,2/2/2016 16:58,2/2/2016 17:37,1,18.4,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.98812866,40.73609161,"-73.988128662109375,40.736091613769531",1,52,4.5,0.5,12.55,5.54,0.3,75.39
40003,1,2/2/2016 16:58,2/2/2016 17:38,2,15,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.97570801,40.76285553,"-73.975708007812500,40.762855529785156",2,52,4.5,0.5,0,5.54,0.3,62.84
40004,1,2/2/2016 16:58,2/2/2016 17:36,1,20.3,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.95542145,40.76683807,"-73.955421447753906,40.766838073730469",1,52,4.5,0.5,12.55,5.54,0.3,75.39
40005,1,2/2/2016 16:58,2/2/2016 17:48,1,18.8,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,Y,-74.00994873,40.73122025,"-74.009948730468750,40.731220245361328",1,52,4.5,0.5,11.85,2.04,0.3,71.19
40006,2,2/2/2016 16:58,2/2/2016 17:42,1,20.88,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",2,N,-73.9330368,40.84782791,"-73.933036804199219,40.847827911376953",2,52,4.5,0.5,0,5.54,0.3,62.84
40007,1,2/2/2016 16:58,2/2/2016 17:27,1,14.4,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.92124939,40.7445755,"-73.921249389648438,40.744575500488281",1,40.5,1,0.5,8.45,0,0.3,50.75
40008,2,2/2/2016 16:58,2/2/2016 17:08,2,4.37,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.80562592,40.68566895,"-73.805625915527344,40.685668945312500",1,14,1,0.5,0,0,0.3,15.8
40009,1,2/2/2016 16:59,2/2/2016 17:59,3,16.3,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.9569397,40.71244812,"-73.956939697265625,40.712448120117188",2,55,1,0.5,0,0,0.3,56.8
40010,2,2/2/2016 16:59,2/2/2016 17:55,1,16.02,-73.785924,40.645134,"-73.785924000000000,40.645134000000000",1,N,-73.96247101,40.7126503,"-73.962471008300781,40.712650299072266",1,52.5,1,0.5,10.86,0,0.3,65.16
