source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.79585266, 40.66764832)", ,2.97000,5.890, , ,,,"(-73.79585266, 40.66764832):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.79592896, 40.66769409)", ,2.96000,5.870, , ,,,"(-73.79592896, 40.66769409):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.79602051, 40.90875626)","(-73.79748535, 40.73588562)",22.34000,32.910,9.30000,14.460,25.75500,30.650,Matched
"(-73.785924, 40.645134)","(-73.79608154, 40.66765976)", ,2.94000,5.770, , ,,,"(-73.79608154, 40.66765976):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.79837799, 40.66733551)", ,3.04000,6.240, , ,,,"(-73.79837799, 40.66733551):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.79867554, 40.70568848)","(-73.79125977, 40.64599991)",7.02000,10.480,1.26000,4.390,6.50000,10.620,Matched
"(-73.785924, 40.645134)","(-73.79878235, 40.94501114)","(-73.77290344, 40.78184128)",24.27000,35.160,12.81000,20.060,30.39000,34.710,Matched
"(-73.785924, 40.645134)","(-73.79904938, 40.66766357)", ,2.78000,5.140, , ,,,"(-73.79904938, 40.66766357): D2: (-73.65694427, 40.6931839)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.79940033, 40.66728973)", ,2.63000,4.610, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.77681732, 40.64593124)']"
"(-73.785924, 40.645134)","(-73.80056, 40.64587402)", ,4.53000,6.860, , ,,,"(-73.80056, 40.64587402):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.80187225, 40.65827179)", ,2.92000,6.800, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.71652985, 40.72963333)']"
"(-73.785924, 40.645134)","(-73.80250549, 40.69096756)", ,5.03000,8.650, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.75437164, 40.66233063)']"
"(-73.785924, 40.645134)","(-73.80367279, 40.81023788)","(-73.76901245, 40.70062256)",16.47000,23.670,5.74000,9.900,17.57500,20.680,Matched
"(-73.785924, 40.645134)","(-73.80444336, 40.6914711)", ,5.42000,8.700, , ,,,"(-73.80444336, 40.6914711):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.80557251, 40.68584824)","(-73.7844162, 40.59202957)",4.57000,7.350,9.60000,13.820,8.24500,17.220,Matched
"(-73.785924, 40.645134)","(-73.80605316, 40.71461105)", ,7.37000,10.990, , ,,,"(-73.80605316, 40.71461105):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.80690002, 40.7730484)", ,12.55000,18.410, , ,,,"(-73.80690002, 40.7730484):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.80696869, 40.66558075)","(-73.733078, 40.65164566)",3.46000,6.300,5.86000,10.580,6.61000,11.320,Matched
"(-73.785924, 40.645134)","(-73.80701447, 40.67621994)", ,3.54000,6.630, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.75695038, 40.66144943)']"
"(-73.785924, 40.645134)","(-73.80776978, 40.70450974)", ,6.20000,9.860, , ,,,"(-73.80776978, 40.70450974):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.80805206, 40.6842804)", ,4.58000,7.480, , ,,,"(-73.80805206, 40.6842804):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.80876923, 40.78615189)", ,13.24000,18.500, , ,,,"(-73.80876923, 40.78615189):Not present in PreComputed rows or does not have angle <= 30"
